ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-01,1205918.152293789,1184407.8066183676,1211042.0028841388,1205918.152293789,1205918.152293789,-8070.5811012611875,-8070.5811012611875,-8070.5811012611875,-8070.5811012611875,-8070.5811012611875,-8070.5811012611875,0.0,0.0,0.0,1197847.571192528
2022-02-01,1297025.7994289321,1267040.3341973945,1293847.0444387645,1297025.7994289321,1297025.7994289321,-16682.86849045848,-16682.86849045848,-16682.86849045848,-16682.86849045848,-16682.86849045848,-16682.86849045848,0.0,0.0,0.0,1280342.9309384737
2022-03-01,1379316.57746759,1364353.530958038,1390910.728306352,1379316.57746759,1379316.57746759,-1952.4993181808313,-1952.4993181808313,-1952.4993181808313,-1952.4993181808313,-1952.4993181808313,-1952.4993181808313,0.0,0.0,0.0,1377364.0781494093
2022-04-01,1473586.3517508477,1447071.4163546648,1473496.211480298,1473586.3517508477,1473586.3517508477,-12916.155745745766,-12916.155745745766,-12916.155745745766,-12916.155745745766,-12916.155745745766,-12916.155745745766,0.0,0.0,0.0,1460670.1960051018
2022-05-01,1564906.4336523986,1544404.0444999216,1572288.5596067668,1564906.4336523986,1564906.4336523986,-5826.672471270719,-5826.672471270719,-5826.672471270719,-5826.672471270719,-5826.672471270719,-5826.672471270719,0.0,0.0,0.0,1559079.761181128
2022-06-01,1659270.5182840023,1635209.3056569628,1660831.5779161328,1659270.5182840023,1659270.5182840023,-11137.506367908416,-11137.506367908416,-11137.506367908416,-11137.506367908416,-11137.506367908416,-11137.506367908416,0.0,0.0,0.0,1648133.011916094
2022-07-01,1750590.6001664284,1726430.2560370038,1753750.978515821,1750590.6001664284,1750590.6001664284,-11478.5471917906,-11478.5471917906,-11478.5471917906,-11478.5471917906,-11478.5471917906,-11478.5471917906,0.0,0.0,0.0,1739112.0529746378
2022-08-01,1844954.6847885149,1820431.0146862674,1846977.4905160496,1844954.6847885149,1844954.6847885149,-11177.274009298626,-11177.274009298626,-11177.274009298626,-11177.274009298626,-11177.274009298626,-11177.274009298626,0.0,0.0,0.0,1833777.4107792163
2022-09-01,1939312.1813228554,1909022.5732384275,1935988.3365704287,1939312.1813228554,1939312.1813228554,-17454.385780752695,-17454.385780752695,-17454.385780752695,-17454.385780752695,-17454.385780752695,-17454.385780752695,0.0,0.0,0.0,1921857.7955421028
2022-10-01,2027169.5763151543,2017455.0049496496,2045271.2176123117,2027169.5763151543,2027169.5763151543,4754.844565277609,4754.844565277609,4754.844565277609,4754.844565277609,4754.844565277609,4754.844565277609,0.0,0.0,0.0,2031924.420880432
2022-11-01,2117955.5511405296,2093101.101891026,2119290.4331991537,2117955.5511405296,2117955.5511405296,-11293.62703406943,-11293.62703406943,-11293.62703406943,-11293.62703406943,-11293.62703406943,-11293.62703406943,0.0,0.0,0.0,2106661.92410646
2022-12-01,2205805.54564624,2184020.426525818,2210457.6506980094,2205805.54564624,2205805.54564624,-8365.662757798233,-8365.662757798233,-8365.662757798233,-8365.662757798233,-8365.662757798233,-8365.662757798233,0.0,0.0,0.0,2197439.882888442
2023-01-01,2296583.87329545,2275439.006480442,2301896.8713786914,2296583.87329545,2296583.87329545,-7812.234990864025,-7812.234990864025,-7812.234990864025,-7812.234990864025,-7812.234990864025,-7812.234990864025,0.0,0.0,0.0,2288771.638304586
2023-02-01,2396709.01857391,2375123.1444697715,2401331.6054745144,2396709.01857391,2396709.01857391,-8138.512327099617,-8138.512327099617,-8138.512327099617,-8138.512327099617,-8138.512327099617,-8138.512327099617,0.0,0.0,0.0,2388570.5062468103
2023-03-01,2487144.6336641326,2463195.216636095,2488721.8923827056,2487144.6336641326,2487144.6336641326,-11037.67616408901,-11037.67616408901,-11037.67616408901,-11037.67616408901,-11037.67616408901,-11037.67616408901,0.0,0.0,0.0,2476106.9575000433
2023-04-01,2587269.778927113,2556138.782553556,2584351.1860581855,2587269.778927113,2587269.778927113,-15922.766890239442,-15922.766890239442,-15922.766890239442,-15922.766890239442,-15922.766890239442,-15922.766890239442,0.0,0.0,0.0,2571347.0120368735
2023-05-01,2684165.0807581428,2655885.2860362614,2683452.183067437,2684165.0807581428,2684165.0807581428,-14934.65456554417,-14934.65456554417,-14934.65456554417,-14934.65456554417,-14934.65456554417,-14934.65456554417,0.0,0.0,0.0,2669230.4261925984
2023-06-01,2784290.222259112,2784393.7521892637,2811186.039524753,2784290.222259112,2784290.222259112,13748.006201673443,13748.006201673443,13748.006201673443,13748.006201673443,13748.006201673443,13748.006201673443,0.0,0.0,0.0,2798038.2284607855
2023-07-01,2881185.5205076244,2849824.3413857385,2878018.3872470744,2881185.5205076244,2881185.5205076244,-17475.75209705778,-17475.75209705778,-17475.75209705778,-17475.75209705778,-17475.75209705778,-17475.75209705778,0.0,0.0,0.0,2863709.7684105667
2023-08-01,2981310.662031086,2948485.795269127,2975531.999425102,2981310.662031086,2981310.662031086,-19855.3465609189,-19855.3465609189,-19855.3465609189,-19855.3465609189,-19855.3465609189,-19855.3465609189,0.0,0.0,0.0,2961455.3154701674
2023-09-01,3074429.130887811,3043814.571045896,3072450.88189226,3074429.130887811,3074429.130887811,-15623.381673759499,-15623.381673759499,-15623.381673759499,-15623.381673759499,-15623.381673759499,-15623.381673759499,0.0,0.0,0.0,3058805.7492140518
2023-10-01,3164517.6080537536,3155192.8998629963,3182316.313765906,3164517.6080537536,3164517.6080537536,4500.320255269892,4500.320255269892,4500.320255269892,4500.320255269892,4500.320255269892,4500.320255269892,0.0,0.0,0.0,3169017.9283090234
2023-11-01,3257609.034458562,3229519.7685739584,3256220.530701376,3257609.034458562,3257609.034458562,-14558.143770640863,-14558.143770640863,-14558.143770640863,-14558.143770640863,-14558.143770640863,-14558.143770640863,0.0,0.0,0.0,3243050.890687921
2023-12-01,3347697.511624505,3329861.599332291,3356764.3552847914,3347697.511624505,3347697.511624505,-4355.879675845882,-4355.879675845882,-4355.879675845882,-4355.879675845882,-4355.879675845882,-4355.879675845882,0.0,0.0,0.0,3343341.6319486587
2024-01-01,3440788.938029313,3420453.569684389,3446646.1946549607,3440788.938029313,3440788.938029313,-7521.485608374161,-7521.485608374161,-7521.485608374161,-7521.485608374161,-7521.485608374161,-7521.485608374161,0.0,0.0,0.0,3433267.4524209388
2024-02-01,3533880.3644341207,3521142.651247531,3547341.011800077,3533880.3644341207,3533880.3644341207,262.81956452333424,262.81956452333424,262.81956452333424,262.81956452333424,262.81956452333424,262.81956452333424,0.0,0.0,0.0,3534143.183998644
2024-03-01,3620965.8923611986,3622804.7160295183,3650255.5673499415,3620965.8923611986,3620965.8923611986,15753.68035251815,15753.68035251815,15753.68035251815,15753.68035251815,15753.68035251815,15753.68035251815,0.0,0.0,0.0,3636719.572713717
2024-04-01,3714057.3187660067,3693938.2141144723,3720948.6233722717,3714057.3187660067,3714057.3187660067,-6705.187291161742,-6705.187291161742,-6705.187291161742,-6705.187291161742,-6705.187291161742,-6705.187291161742,0.0,0.0,0.0,3707352.131474845
2024-05-01,3804145.7959319497,3803471.906199217,3831586.7201768807,3804145.7959319497,3804145.7959319497,13604.80234631195,13604.80234631195,13604.80234631195,13604.80234631195,13604.80234631195,13604.80234631195,0.0,0.0,0.0,3817750.5982782617
2024-06-01,3897237.2223367575,3823132.0867181034,3850121.4132268727,3897237.2223367575,3897237.2223367575,-60672.58514508895,-60672.58514508895,-60672.58514508895,-60672.58514508895,-60672.58514508895,-60672.58514508895,0.0,0.0,0.0,3836564.6371916686
2024-07-01,3987325.6995027005,3973371.857594632,3999656.380238562,3985927.80137342,3988560.1745170704,-757.940815740425,-757.940815740425,-757.940815740425,-757.940815740425,-757.940815740425,-757.940815740425,0.0,0.0,0.0,3986567.75868696
2024-08-01,4080417.125907508,4072913.861100156,4100756.2354599563,4076137.478281161,4084147.093886249,6124.138579850318,6124.138579850318,6124.138579850318,6124.138579850318,6124.138579850318,6124.138579850318,0.0,0.0,0.0,4086541.2644873587
2024-09-01,4173508.552312316,4137464.6993877124,4167659.788111741,4165597.3952687765,4180396.0462371325,-20816.072391987465,-20816.072391987465,-20816.072391987465,-20816.072391987465,-20816.072391987465,-20816.072391987465,0.0,0.0,0.0,4152692.4799203286
2024-10-01,4263597.02947826,4249317.880404478,4285369.028682982,4251489.335935861,4273713.85557071,5226.279323415127,5226.279323415127,5226.279323415127,5226.279323415127,5226.279323415127,5226.279323415127,0.0,0.0,0.0,4268823.308801675
2024-11-01,4356688.455883068,4330748.06567683,4370905.755828527,4340287.670004746,4370457.31304208,-4507.810792324993,-4507.810792324993,-4507.810792324993,-4507.810792324993,-4507.810792324993,-4507.810792324993,0.0,0.0,0.0,4352180.645090743
2024-12-01,4446776.93304901,4405825.683654515,4453479.726946141,4425485.352252088,4464909.189352825,-16141.54005737317,-16141.54005737317,-16141.54005737317,-16141.54005737317,-16141.54005737317,-16141.54005737317,0.0,0.0,0.0,4430635.392991637
