customer_id,churn_date,churn_reason,last_activity_date,days_since_last_activity,segment,region,plan_type,signup_date,churn_month
CUST_00252,2024-06-14,Price,2024-06-03,11,SMB,West,Basic,2021-10-30,2024-06
CUST_00261,2024-06-08,Competitor,2024-05-19,20,SMB,East,Basic,2023-10-24,2024-06
CUST_00265,2024-06-12,Support Issues,2024-04-17,56,SMB,North,Pro,2022-11-17,2024-06
CUST_00269,2024-06-23,Business Closure,2024-05-02,52,Mid-Market,West,Enterprise,2023-12-15,2024-06
CUST_00270,2024-06-06,Price,2024-04-19,48,SMB,North,Pro,2022-09-25,2024-06
CUST_00275,2024-06-24,Price,2024-06-15,9,SMB,North,Enterprise,2023-06-16,2024-06
CUST_00281,2024-06-28,Product Gap,2024-05-31,28,SMB,West,Basic,2021-09-13,2024-06
CUST_00287,2024-06-15,Support Issues,2024-06-06,9,SMB,International,Pro,2021-02-08,2024-06
CUST_00294,2024-06-07,Competitor,2024-05-01,37,SMB,North,Pro,2023-08-21,2024-06
CUST_00301,2024-06-27,Price,2024-04-28,60,SMB,South,Pro,2022-01-27,2024-06
CUST_00302,2024-06-25,Competitor,2024-05-26,30,SMB,West,Basic,2022-07-14,2024-06
CUST_00307,2024-06-27,Price,2024-06-20,7,SMB,South,Basic,2023-07-05,2024-06
CUST_00312,2024-07-01,Price,2024-05-29,33,Mid-Market,East,Basic,2024-05-24,2024-07
CUST_00321,2024-06-25,Competitor,2024-06-13,12,Enterprise,North,Basic,2023-10-09,2024-06
CUST_00322,2024-06-25,Support Issues,2024-05-30,26,SMB,West,Basic,2024-02-04,2024-06
CUST_00328,2024-06-15,Price,2024-04-22,54,SMB,West,Enterprise,2022-05-29,2024-06
CUST_00329,2024-06-21,Price,2024-06-03,18,SMB,East,Basic,2023-12-29,2024-06
CUST_00331,2024-06-10,Price,2024-05-30,11,SMB,West,Pro,2024-02-29,2024-06
CUST_00332,2024-06-12,Product Gap,2024-05-06,37,SMB,International,Basic,2024-03-27,2024-06
CUST_00334,2024-06-14,Competitor,2024-04-26,49,SMB,International,Basic,2023-09-17,2024-06
CUST_00335,2024-06-03,Competitor,2024-04-28,36,SMB,East,Pro,2021-05-03,2024-06
CUST_00337,2024-06-26,Business Closure,2024-04-28,59,SMB,International,Pro,2023-03-28,2024-06
CUST_00338,2024-06-05,Support Issues,2024-05-11,25,Mid-Market,South,Pro,2023-08-14,2024-06
CUST_00343,2024-06-18,Product Gap,2024-04-27,52,SMB,South,Basic,2021-04-14,2024-06
CUST_00349,2024-06-16,Competitor,2024-05-20,27,SMB,International,Basic,2021-10-23,2024-06
CUST_00351,2024-06-29,Price,2024-05-05,55,SMB,North,Pro,2023-11-22,2024-06
CUST_00353,2024-06-23,Price,2024-06-12,11,SMB,East,Pro,2024-02-27,2024-06
CUST_00357,2024-06-05,Competitor,2024-04-27,39,SMB,North,Pro,2023-02-18,2024-06
CUST_00358,2024-06-05,Business Closure,2024-05-10,26,SMB,International,Basic,2021-08-14,2024-06
CUST_00370,2024-06-11,Product Gap,2024-05-27,15,SMB,East,Basic,2022-07-11,2024-06
CUST_00371,2024-06-06,Competitor,2024-04-28,39,SMB,North,Pro,2023-12-24,2024-06
CUST_00372,2024-06-27,Competitor,2024-05-06,52,Mid-Market,South,Basic,2023-08-26,2024-06
CUST_00385,2024-06-04,Competitor,2024-05-06,29,SMB,North,Enterprise,2023-02-25,2024-06
CUST_00386,2024-06-13,Support Issues,2024-04-28,46,SMB,South,Enterprise,2024-03-19,2024-06
CUST_00389,2024-06-26,Product Gap,2024-04-30,57,SMB,South,Enterprise,2022-03-29,2024-06
CUST_00398,2024-06-02,Product Gap,2024-05-20,13,Mid-Market,West,Enterprise,2024-03-30,2024-06
CUST_00403,2024-06-23,Competitor,2024-04-29,55,SMB,East,Pro,2022-12-14,2024-06
CUST_00408,2024-06-14,Price,2024-06-03,11,SMB,North,Enterprise,2021-05-18,2024-06
CUST_00413,2024-06-13,Support Issues,2024-05-19,25,SMB,South,Pro,2022-07-18,2024-06
CUST_00420,2024-06-18,Business Closure,2024-04-21,58,SMB,West,Basic,2022-01-26,2024-06
CUST_00422,2024-06-20,Business Closure,2024-06-13,7,SMB,East,Pro,2023-09-09,2024-06
CUST_00436,2024-06-11,Support Issues,2024-05-27,15,Mid-Market,North,Enterprise,2021-11-06,2024-06
CUST_00440,2024-06-25,Support Issues,2024-05-24,32,SMB,North,Basic,2021-11-01,2024-06
CUST_00441,2024-06-03,Competitor,2024-04-24,40,SMB,South,Basic,2023-03-24,2024-06
CUST_00442,2024-06-06,Price,2024-04-24,43,SMB,North,Pro,2022-04-08,2024-06
CUST_00443,2024-06-08,Product Gap,2024-04-20,49,SMB,International,Basic,2021-03-06,2024-06
CUST_00446,2024-06-07,Competitor,2024-04-21,47,SMB,East,Basic,2021-03-29,2024-06
CUST_00447,2024-06-12,Competitor,2024-06-02,10,SMB,East,Pro,2022-07-10,2024-06
CUST_00450,2024-06-23,Product Gap,2024-04-29,55,SMB,South,Pro,2021-06-07,2024-06
CUST_00454,2024-06-30,Competitor,2024-05-21,40,SMB,South,Enterprise,2022-10-31,2024-06
CUST_00456,2024-06-27,Price,2024-05-24,34,Mid-Market,East,Basic,2023-02-18,2024-06
CUST_00457,2024-06-12,Support Issues,2024-06-02,10,SMB,West,Enterprise,2021-06-18,2024-06
CUST_00472,2024-06-12,Price,2024-04-21,52,Mid-Market,West,Basic,2023-01-18,2024-06
CUST_00473,2024-06-14,Competitor,2024-05-10,35,SMB,East,Pro,2024-02-01,2024-06
CUST_00479,2024-06-17,Competitor,2024-05-15,33,Mid-Market,East,Enterprise,2021-06-24,2024-06
CUST_00485,2024-06-12,Competitor,2024-05-08,35,SMB,International,Basic,2021-06-25,2024-06
CUST_00490,2024-06-20,Price,2024-06-07,13,SMB,South,Basic,2023-08-05,2024-06
CUST_00497,2024-06-15,Support Issues,2024-05-13,33,SMB,South,Pro,2024-04-23,2024-06
CUST_00505,2024-06-11,Price,2024-04-25,47,Mid-Market,North,Basic,2022-08-15,2024-06
CUST_00513,2024-06-16,Competitor,2024-06-05,11,SMB,East,Enterprise,2023-12-27,2024-06
CUST_00515,2024-06-20,Support Issues,2024-04-27,54,SMB,International,Pro,2021-07-15,2024-06
CUST_00525,2024-06-04,Competitor,2024-05-16,19,SMB,West,Enterprise,2021-04-05,2024-06
CUST_00529,2024-06-20,Price,2024-05-15,36,Mid-Market,International,Basic,2021-12-05,2024-06
CUST_00533,2024-06-08,Price,2024-05-30,9,SMB,North,Pro,2021-05-26,2024-06
CUST_00541,2024-06-13,Price,2024-05-15,29,SMB,West,Enterprise,2022-09-10,2024-06
CUST_00546,2024-06-25,Product Gap,2024-06-03,22,Mid-Market,International,Pro,2021-05-30,2024-06
CUST_00552,2024-06-25,Product Gap,2024-05-12,44,Mid-Market,North,Enterprise,2022-05-16,2024-06
CUST_00555,2024-06-06,Support Issues,2024-05-06,31,Mid-Market,East,Enterprise,2022-06-15,2024-06
CUST_00560,2024-06-29,Support Issues,2024-06-15,14,SMB,North,Pro,2023-11-09,2024-06
CUST_00564,2024-06-29,Price,2024-05-27,33,SMB,North,Basic,2023-02-03,2024-06
CUST_00571,2024-06-04,Product Gap,2024-05-20,15,SMB,North,Pro,2022-11-18,2024-06
CUST_00572,2024-06-23,Competitor,2024-05-06,48,SMB,West,Enterprise,2021-08-01,2024-06
CUST_00575,2024-07-01,Price,2024-06-11,20,SMB,West,Pro,2024-04-04,2024-07
CUST_00576,2024-06-18,Support Issues,2024-04-21,58,Enterprise,North,Enterprise,2024-03-08,2024-06
CUST_00582,2024-06-09,Competitor,2024-04-21,49,Enterprise,South,Enterprise,2024-05-20,2024-06
CUST_00584,2024-06-06,Support Issues,2024-05-27,10,Mid-Market,South,Basic,2021-12-23,2024-06
CUST_00585,2024-06-24,Support Issues,2024-06-17,7,Mid-Market,West,Pro,2022-05-27,2024-06
CUST_00588,2024-06-26,Price,2024-05-24,33,SMB,East,Basic,2021-06-03,2024-06
CUST_00590,2024-06-24,Product Gap,2024-04-29,56,SMB,North,Enterprise,2023-08-03,2024-06
CUST_00591,2024-06-07,Competitor,2024-05-23,15,SMB,West,Pro,2023-10-14,2024-06
CUST_00592,2024-06-24,Product Gap,2024-06-03,21,SMB,North,Basic,2022-01-19,2024-06
CUST_00594,2024-06-11,Price,2024-04-20,52,SMB,East,Enterprise,2021-06-29,2024-06
CUST_00598,2024-06-21,Product Gap,2024-04-24,58,Mid-Market,South,Basic,2022-03-25,2024-06
CUST_00600,2024-06-29,Support Issues,2024-05-28,32,SMB,International,Enterprise,2021-07-25,2024-06
CUST_00608,2024-07-01,Product Gap,2024-06-08,23,Mid-Market,West,Basic,2022-10-25,2024-07
CUST_00615,2024-06-21,Support Issues,2024-06-06,15,SMB,South,Enterprise,2024-03-08,2024-06
CUST_00619,2024-06-30,Competitor,2024-05-17,44,SMB,South,Pro,2021-01-24,2024-06
CUST_00623,2024-06-10,Price,2024-04-21,50,SMB,West,Pro,2022-04-07,2024-06
CUST_00629,2024-06-22,Competitor,2024-05-05,48,SMB,East,Enterprise,2022-07-31,2024-06
CUST_00634,2024-06-21,Product Gap,2024-06-02,19,SMB,International,Basic,2023-01-27,2024-06
CUST_00640,2024-06-18,Price,2024-05-03,46,SMB,West,Enterprise,2021-10-29,2024-06
CUST_00646,2024-06-27,Competitor,2024-05-27,31,SMB,South,Pro,2023-04-29,2024-06
CUST_00651,2024-06-04,Competitor,2024-05-19,16,Mid-Market,International,Basic,2022-05-02,2024-06
CUST_00658,2024-06-02,Price,2024-04-28,35,SMB,East,Pro,2021-12-22,2024-06
CUST_00659,2024-06-22,Product Gap,2024-06-08,14,SMB,North,Enterprise,2023-07-24,2024-06
CUST_00673,2024-06-23,Competitor,2024-05-15,39,SMB,West,Basic,2022-09-04,2024-06
CUST_00679,2024-06-03,Price,2024-04-26,38,SMB,International,Enterprise,2022-01-06,2024-06
CUST_00688,2024-07-01,Price,2024-05-16,46,SMB,North,Pro,2021-04-29,2024-07
CUST_00692,2024-06-16,Product Gap,2024-05-27,20,SMB,West,Enterprise,2023-12-24,2024-06
CUST_00697,2024-06-09,Business Closure,2024-05-17,23,Mid-Market,International,Enterprise,2023-04-07,2024-06
CUST_00705,2024-06-11,Competitor,2024-04-14,58,SMB,West,Basic,2023-10-17,2024-06
CUST_00721,2024-06-02,Competitor,2024-04-27,36,SMB,South,Enterprise,2021-05-10,2024-06
CUST_00731,2024-06-03,Price,2024-05-26,8,Enterprise,North,Pro,2024-01-30,2024-06
CUST_00735,2024-06-24,Support Issues,2024-04-29,56,SMB,South,Pro,2023-07-16,2024-06
CUST_00737,2024-06-04,Price,2024-05-21,14,Mid-Market,International,Basic,2023-10-06,2024-06
CUST_00738,2024-06-17,Price,2024-05-02,46,SMB,North,Pro,2022-02-06,2024-06
CUST_00741,2024-06-03,Product Gap,2024-05-24,10,SMB,East,Pro,2023-10-30,2024-06
CUST_00752,2024-06-13,Support Issues,2024-05-29,15,SMB,West,Enterprise,2023-12-30,2024-06
CUST_00755,2024-06-04,Product Gap,2024-04-12,53,SMB,North,Basic,2022-08-28,2024-06
CUST_00762,2024-06-19,Business Closure,2024-06-08,11,SMB,International,Basic,2023-11-19,2024-06
CUST_00764,2024-06-03,Price,2024-04-13,51,Mid-Market,West,Basic,2021-11-14,2024-06
CUST_00782,2024-06-04,Business Closure,2024-04-08,57,SMB,West,Pro,2024-04-14,2024-06
CUST_00785,2024-06-11,Support Issues,2024-04-22,50,SMB,North,Basic,2022-03-27,2024-06
CUST_00788,2024-06-13,Product Gap,2024-05-08,36,Enterprise,North,Enterprise,2021-03-27,2024-06
CUST_00789,2024-06-05,Competitor,2024-04-30,36,SMB,International,Pro,2022-09-17,2024-06
CUST_00790,2024-06-26,Price,2024-06-11,15,SMB,North,Pro,2023-11-16,2024-06
CUST_00793,2024-06-22,Product Gap,2024-05-08,45,SMB,North,Basic,2021-07-21,2024-06
CUST_00794,2024-06-24,Competitor,2024-05-07,48,SMB,South,Enterprise,2022-04-26,2024-06
CUST_00798,2024-06-10,Business Closure,2024-04-16,55,SMB,South,Pro,2023-01-07,2024-06
CUST_00809,2024-07-01,Competitor,2024-06-12,19,SMB,East,Pro,2023-01-05,2024-07
CUST_00810,2024-06-14,Competitor,2024-05-17,28,SMB,South,Basic,2022-04-25,2024-06
CUST_00817,2024-06-23,Competitor,2024-04-30,54,Enterprise,South,Enterprise,2022-04-17,2024-06
CUST_00821,2024-06-04,Price,2024-05-28,7,Mid-Market,North,Basic,2024-04-28,2024-06
CUST_00822,2024-06-05,Competitor,2024-05-18,18,SMB,East,Basic,2021-04-25,2024-06
CUST_00824,2024-06-12,Competitor,2024-04-26,47,SMB,West,Pro,2021-06-25,2024-06
CUST_00834,2024-07-01,Product Gap,2024-05-11,51,SMB,South,Enterprise,2024-03-25,2024-07
CUST_00852,2024-06-26,Price,2024-05-30,27,SMB,South,Basic,2024-04-15,2024-06
CUST_00854,2024-06-19,Price,2024-05-02,48,SMB,South,Enterprise,2022-07-21,2024-06
CUST_00855,2024-06-05,Product Gap,2024-04-22,44,SMB,South,Pro,2021-01-10,2024-06
CUST_00867,2024-06-16,Price,2024-04-23,54,Mid-Market,North,Pro,2021-08-07,2024-06
CUST_00870,2024-06-09,Support Issues,2024-05-22,18,SMB,International,Enterprise,2023-10-03,2024-06
CUST_00871,2024-06-14,Product Gap,2024-05-03,42,SMB,South,Pro,2024-03-27,2024-06
CUST_00882,2024-06-22,Business Closure,2024-06-14,8,Mid-Market,South,Pro,2024-03-08,2024-06
CUST_00885,2024-06-21,Support Issues,2024-06-04,17,SMB,South,Enterprise,2023-04-24,2024-06
CUST_00890,2024-06-03,Price,2024-05-16,18,SMB,International,Pro,2021-06-12,2024-06
CUST_00893,2024-06-12,Support Issues,2024-04-20,53,SMB,North,Pro,2021-02-17,2024-06
CUST_00911,2024-06-23,Support Issues,2024-05-22,32,SMB,North,Basic,2021-05-21,2024-06
CUST_00913,2024-06-24,Support Issues,2024-05-17,38,SMB,North,Basic,2024-01-01,2024-06
CUST_00917,2024-06-21,Product Gap,2024-06-13,8,SMB,North,Enterprise,2023-03-15,2024-06
CUST_00924,2024-06-20,Price,2024-06-05,15,Mid-Market,East,Basic,2022-10-27,2024-06
CUST_00925,2024-06-16,Price,2024-04-21,56,SMB,South,Pro,2022-05-13,2024-06
CUST_00930,2024-06-03,Competitor,2024-05-20,14,SMB,South,Enterprise,2022-01-31,2024-06
CUST_00945,2024-06-18,Competitor,2024-05-23,26,SMB,East,Basic,2023-12-20,2024-06
CUST_00956,2024-06-07,Price,2024-04-12,56,SMB,International,Pro,2022-09-11,2024-06
CUST_00958,2024-06-28,Support Issues,2024-05-07,52,SMB,East,Pro,2021-07-13,2024-06
CUST_00966,2024-06-14,Competitor,2024-06-01,13,SMB,North,Pro,2023-12-10,2024-06
CUST_00967,2024-07-01,Price,2024-05-24,38,SMB,East,Basic,2022-03-29,2024-07
CUST_00975,2024-06-03,Product Gap,2024-04-05,59,Mid-Market,West,Basic,2022-09-17,2024-06
CUST_00980,2024-06-08,Price,2024-05-29,10,SMB,West,Basic,2022-03-10,2024-06
CUST_00982,2024-06-02,Support Issues,2024-04-15,48,SMB,International,Basic,2023-12-15,2024-06
CUST_00983,2024-06-20,Business Closure,2024-05-22,29,Mid-Market,West,Basic,2022-07-10,2024-06
CUST_01000,2024-06-23,Price,2024-06-14,9,Mid-Market,South,Pro,2022-07-15,2024-06
CUST_01004,2024-06-28,Price,2024-04-30,59,SMB,South,Basic,2023-08-29,2024-06
CUST_01010,2024-06-04,Price,2024-04-23,42,SMB,West,Enterprise,2023-12-03,2024-06
CUST_01019,2024-06-15,Price,2024-06-03,12,SMB,West,Enterprise,2021-09-11,2024-06
CUST_01022,2024-06-13,Price,2024-04-30,44,SMB,East,Enterprise,2021-11-04,2024-06
CUST_01026,2024-06-16,Product Gap,2024-06-07,9,SMB,North,Pro,2023-10-08,2024-06
CUST_01029,2024-06-10,Support Issues,2024-05-02,39,Mid-Market,North,Basic,2022-12-16,2024-06
CUST_01032,2024-06-30,Competitor,2024-06-11,19,SMB,East,Pro,2024-02-26,2024-06
CUST_01036,2024-06-27,Product Gap,2024-05-05,53,Mid-Market,North,Basic,2021-04-30,2024-06
CUST_01041,2024-06-22,Product Gap,2024-06-03,19,Mid-Market,West,Pro,2022-02-01,2024-06
CUST_01045,2024-06-10,Price,2024-04-19,52,Mid-Market,South,Pro,2021-01-13,2024-06
CUST_01051,2024-06-09,Competitor,2024-04-21,49,Enterprise,South,Pro,2022-12-26,2024-06
CUST_01053,2024-06-08,Price,2024-04-21,48,SMB,South,Pro,2024-05-03,2024-06
CUST_01054,2024-06-27,Price,2024-05-05,53,SMB,International,Basic,2021-03-06,2024-06
CUST_01057,2024-06-20,Competitor,2024-06-11,9,Mid-Market,East,Basic,2023-10-22,2024-06
CUST_01062,2024-06-10,Competitor,2024-05-01,40,SMB,West,Basic,2022-10-02,2024-06
CUST_01063,2024-06-11,Competitor,2024-05-09,33,SMB,North,Pro,2022-02-15,2024-06
CUST_01071,2024-06-18,Competitor,2024-05-02,47,Mid-Market,West,Enterprise,2023-12-29,2024-06
CUST_01077,2024-06-09,Product Gap,2024-05-01,39,Mid-Market,East,Basic,2023-11-07,2024-06
CUST_01081,2024-07-01,Competitor,2024-05-18,44,SMB,South,Pro,2022-04-29,2024-07
CUST_01082,2024-06-15,Product Gap,2024-06-02,13,SMB,West,Pro,2023-09-24,2024-06
CUST_01083,2024-06-07,Price,2024-05-29,9,SMB,North,Basic,2023-07-01,2024-06
CUST_01090,2024-06-03,Price,2024-05-07,27,SMB,West,Pro,2022-08-26,2024-06
CUST_01096,2024-06-14,Business Closure,2024-05-06,39,SMB,North,Basic,2021-02-02,2024-06
CUST_01097,2024-06-11,Competitor,2024-04-24,48,SMB,International,Pro,2021-10-06,2024-06
CUST_01108,2024-06-28,Price,2024-05-13,46,Mid-Market,West,Enterprise,2022-08-16,2024-06
CUST_01109,2024-06-20,Support Issues,2024-05-15,36,SMB,South,Pro,2024-02-29,2024-06
CUST_01111,2024-06-15,Price,2024-04-30,46,SMB,North,Basic,2023-11-02,2024-06
CUST_01118,2024-06-23,Price,2024-06-09,14,SMB,South,Basic,2021-08-26,2024-06
CUST_01119,2024-06-18,Product Gap,2024-04-21,58,SMB,East,Pro,2023-12-27,2024-06
CUST_01128,2024-06-12,Competitor,2024-06-05,7,Mid-Market,South,Pro,2021-03-11,2024-06
CUST_01130,2024-07-01,Competitor,2024-05-07,55,SMB,North,Pro,2024-05-23,2024-07
CUST_01133,2024-06-15,Product Gap,2024-05-16,30,SMB,South,Basic,2022-10-25,2024-06
CUST_01135,2024-06-29,Product Gap,2024-05-17,43,Enterprise,South,Enterprise,2023-06-22,2024-06
CUST_01136,2024-06-11,Business Closure,2024-04-18,54,SMB,South,Basic,2023-10-05,2024-06
CUST_01142,2024-06-02,Price,2024-05-09,24,SMB,North,Enterprise,2022-04-08,2024-06
CUST_01145,2024-06-21,Price,2024-05-23,29,SMB,East,Basic,2022-11-28,2024-06
CUST_01153,2024-06-24,Product Gap,2024-04-26,59,SMB,West,Pro,2024-01-04,2024-06
CUST_01158,2024-06-21,Price,2024-06-04,17,Enterprise,West,Pro,2022-03-28,2024-06
CUST_01168,2024-06-10,Competitor,2024-04-23,48,Enterprise,South,Enterprise,2023-05-08,2024-06
CUST_01172,2024-06-26,Product Gap,2024-06-06,20,SMB,North,Pro,2021-03-30,2024-06
CUST_01173,2024-06-30,Product Gap,2024-06-12,18,Mid-Market,South,Basic,2023-07-18,2024-06
CUST_01178,2024-06-26,Competitor,2024-06-03,23,Mid-Market,East,Pro,2023-06-12,2024-06
CUST_01180,2024-06-04,Business Closure,2024-04-05,60,Mid-Market,South,Basic,2022-11-19,2024-06
CUST_01182,2024-06-20,Business Closure,2024-04-29,52,Mid-Market,International,Basic,2024-05-21,2024-06
CUST_01186,2024-06-06,Competitor,2024-05-14,23,SMB,South,Basic,2024-04-01,2024-06
CUST_01188,2024-07-01,Competitor,2024-06-03,28,Enterprise,West,Enterprise,2023-10-30,2024-07
CUST_01191,2024-06-20,Product Gap,2024-06-13,7,Enterprise,East,Basic,2021-07-05,2024-06
CUST_01200,2024-06-07,Competitor,2024-04-18,50,SMB,North,Enterprise,2022-11-17,2024-06
CUST_01206,2024-06-20,Support Issues,2024-05-08,43,SMB,International,Enterprise,2021-05-15,2024-06
CUST_01207,2024-06-20,Price,2024-05-12,39,SMB,South,Basic,2022-01-02,2024-06
CUST_01216,2024-06-18,Support Issues,2024-04-30,49,SMB,International,Basic,2024-01-02,2024-06
CUST_01217,2024-06-20,Support Issues,2024-04-28,53,SMB,West,Enterprise,2021-11-11,2024-06
CUST_01228,2024-06-29,Business Closure,2024-04-30,60,SMB,International,Basic,2022-07-24,2024-06
CUST_01238,2024-06-21,Competitor,2024-04-25,57,SMB,West,Pro,2021-10-08,2024-06
CUST_01241,2024-06-10,Competitor,2024-04-13,58,Mid-Market,East,Basic,2023-08-26,2024-06
CUST_01242,2024-06-17,Competitor,2024-06-01,16,SMB,North,Basic,2022-05-17,2024-06
CUST_01247,2024-06-12,Price,2024-05-02,41,Enterprise,East,Basic,2022-12-31,2024-06
