ticket_id,customer_id,category,priority,created_date,resolved_date,resolution_time_hours,satisfaction_score,status,ticket_month
TKT_000049,CUST_02622,Account,High,2023-09-14,2023-09-14,12.0,4.0,Resolved,2023-09
TKT_000050,CUST_03085,Billing,Medium,2024-05-11,2024-05-11,17.0,4.0,Resolved,2024-05
TKT_000051,CUST_01042,Feature Request,High,2023-12-21,2023-12-21,14.0,4.0,Resolved,2023-12
TKT_000052,CUST_06663,Billing,Medium,2022-05-21,2022-05-21,17.0,4.0,Resolved,2022-05
TKT_000053,CUST_00577,Technical,Medium,2022-04-01,2022-04-02,34.0,4.0,Resolved,2022-04
TKT_000054,CUST_03083,Technical,High,2023-02-27,2023-02-27,6.0,4.0,Resolved,2023-02
TKT_000055,CUST_03739,Technical,High,2023-07-15,2023-07-15,17.0,3.0,Resolved,2023-07
TKT_000056,CUST_05035,Billing,High,2023-06-18,2023-06-18,5.0,4.0,Resolved,2023-06
TKT_000057,CUST_05109,Technical,Medium,2022-02-02,2022-02-02,19.0,4.0,Resolved,2022-02
TKT_000058,CUST_01993,Billing,Low,2022-12-26,2022-12-28,59.0,3.0,Resolved,2022-12
TKT_000059,CUST_05124,Billing,Low,2024-03-02,2024-03-03,31.0,4.0,Resolved,2024-03
TKT_000060,CUST_05741,Technical,High,2022-10-26,2022-10-26,21.0,3.0,Resolved,2022-10
TKT_000061,CUST_05646,Billing,High,2022-01-01,2022-01-01,21.0,3.0,Resolved,2022-01
TKT_000062,CUST_08106,Billing,Medium,2024-01-16,2024-01-17,38.0,3.0,Resolved,2024-01
TKT_000063,CUST_00092,Technical,Medium,2024-05-24,2024-05-25,42.0,3.0,Resolved,2024-05
TKT_000064,CUST_00944,Bug Report,Low,2022-11-16,2022-11-17,35.0,4.0,Resolved,2022-11
TKT_000065,CUST_06381,Bug Report,Medium,2022-04-22,2022-04-22,13.0,4.0,Resolved,2022-04
TKT_000066,CUST_08832,Technical,Critical,2022-02-26,2022-02-26,3.0,5.0,Resolved,2022-02
TKT_000067,CUST_09279,Account,Medium,2022-11-11,2022-11-12,42.0,3.0,Resolved,2022-11
TKT_000068,CUST_05380,Feature Request,Medium,2022-08-30,2022-08-31,43.0,3.0,Resolved,2022-08
TKT_000069,CUST_03228,Feature Request,Medium,2022-11-22,2022-11-23,32.0,4.0,Resolved,2022-11
TKT_000070,CUST_04206,Account,Low,2024-03-28,2024-03-30,52.0,3.0,Resolved,2024-03
TKT_000071,CUST_05848,Technical,Critical,2022-11-06,2022-11-06,7.0,4.0,Resolved,2022-11
TKT_000072,CUST_05342,Technical,Low,2024-03-26,2024-03-27,26.0,5.0,Resolved,2024-03
TKT_000073,CUST_08135,Feature Request,Low,2024-05-27,2024-05-28,40.0,4.0,Resolved,2024-05
TKT_000074,CUST_07390,Bug Report,Low,2023-01-22,,,,Open,2023-01
TKT_000075,CUST_08129,Account,Critical,2022-07-08,2022-07-08,2.0,5.0,Resolved,2022-07
TKT_000076,CUST_07366,Technical,Medium,2022-04-26,2022-04-26,20.0,4.0,Resolved,2022-04
TKT_000077,CUST_08521,Technical,Medium,2022-06-07,2022-06-08,42.0,3.0,Resolved,2022-06
TKT_000078,CUST_09150,Bug Report,Critical,2024-04-28,2024-04-28,12.0,3.0,Resolved,2024-04
TKT_000079,CUST_06937,Technical,High,2023-05-03,2023-05-03,13.0,4.0,Resolved,2023-05
TKT_000080,CUST_02040,Technical,Low,2023-07-03,2023-07-05,59.0,3.0,Resolved,2023-07
TKT_000081,CUST_04479,Bug Report,Medium,2024-03-15,2024-03-16,47.0,2.0,Resolved,2024-03
TKT_000082,CUST_05046,Billing,Critical,2023-01-06,,,,Open,2023-01
TKT_000083,CUST_04121,Bug Report,Medium,2022-04-15,2022-04-15,17.0,3.0,Resolved,2022-04
TKT_000084,CUST_04645,Technical,Medium,2024-05-25,2024-05-26,33.0,4.0,Resolved,2024-05
TKT_000085,CUST_01053,Technical,Medium,2023-09-04,2023-09-04,19.0,4.0,Resolved,2023-09
TKT_000086,CUST_03969,Technical,Medium,2023-07-05,2023-07-06,26.0,4.0,Resolved,2023-07
TKT_000087,CUST_08422,Billing,Low,2023-03-14,2023-03-15,42.0,3.0,Resolved,2023-03
TKT_000088,CUST_04284,Bug Report,Low,2022-10-08,2022-10-09,28.0,4.0,Resolved,2022-10
TKT_000089,CUST_03562,Account,High,2024-02-14,2024-02-14,14.0,4.0,Resolved,2024-02
TKT_000090,CUST_03763,Billing,Low,2023-03-14,2023-03-16,66.0,3.0,Resolved,2023-03
TKT_000091,CUST_04073,Feature Request,Medium,2023-12-22,2023-12-22,10.0,5.0,Resolved,2023-12
TKT_000092,CUST_04416,Feature Request,Low,2022-04-19,2022-04-21,48.0,4.0,Resolved,2022-04
TKT_000093,CUST_08377,Billing,Medium,2022-02-08,2022-02-09,38.0,3.0,Resolved,2022-02
TKT_000094,CUST_02025,Bug Report,Medium,2023-02-22,2023-02-22,23.0,4.0,Resolved,2023-02
TKT_000095,CUST_07871,Feature Request,Medium,2024-04-13,2024-04-13,19.0,5.0,Resolved,2024-04
TKT_000096,CUST_07201,Bug Report,High,2022-02-27,2022-02-27,7.0,4.0,Resolved,2022-02
TKT_000097,CUST_02764,Technical,Medium,2022-01-05,2022-01-06,46.0,3.0,Resolved,2022-01
TKT_000098,CUST_04182,Billing,Medium,2022-07-30,2022-08-01,48.0,3.0,Resolved,2022-07
TKT_000099,CUST_05806,Account,Critical,2023-07-14,2023-07-14,7.0,4.0,Resolved,2023-07
TKT_000100,CUST_07416,Feature Request,Critical,2023-01-30,2023-01-30,2.0,5.0,Resolved,2023-01
TKT_000101,CUST_05078,Bug Report,Low,2023-08-05,2023-08-06,47.0,3.0,Resolved,2023-08
TKT_000102,CUST_05423,Feature Request,Low,2023-07-18,2023-07-19,25.0,5.0,Resolved,2023-07
TKT_000103,CUST_07905,Bug Report,High,2023-08-21,2023-08-21,15.0,3.0,Resolved,2023-08
TKT_000104,CUST_00158,Technical,High,2023-07-15,2023-07-15,7.0,4.0,Resolved,2023-07
TKT_000105,CUST_03843,Billing,Medium,2022-05-31,2022-06-01,38.0,3.0,Resolved,2022-05
TKT_000106,CUST_05574,Bug Report,High,2023-09-21,2023-09-21,12.0,3.0,Resolved,2023-09
TKT_000107,CUST_00224,Billing,Medium,2022-08-04,2022-08-05,34.0,3.0,Resolved,2022-08
TKT_000108,CUST_05945,Bug Report,Medium,2023-09-15,2023-09-16,34.0,3.0,Resolved,2023-09
TKT_000109,CUST_01879,Technical,Low,2023-05-25,2023-05-26,26.0,4.0,Resolved,2023-05
TKT_000110,CUST_09892,Billing,Medium,2022-12-11,2022-12-11,14.0,4.0,Resolved,2022-12
TKT_000111,CUST_02876,Bug Report,Critical,2023-10-27,2023-10-27,5.0,4.0,Resolved,2023-10
TKT_000112,CUST_06295,Feature Request,Medium,2023-05-17,2023-05-18,37.0,3.0,Resolved,2023-05
TKT_000113,CUST_03110,Account,Low,2022-01-07,2022-01-10,72.0,3.0,Resolved,2022-01
TKT_000114,CUST_04580,Bug Report,High,2022-06-26,2022-06-26,18.0,3.0,Resolved,2022-06
TKT_000115,CUST_04650,Account,Low,2022-03-21,2022-03-22,33.0,4.0,Resolved,2022-03
TKT_000116,CUST_00377,Technical,Low,2023-05-12,2023-05-14,58.0,3.0,Resolved,2023-05
TKT_000117,CUST_08244,Account,High,2022-01-15,2022-01-15,8.0,5.0,Resolved,2022-01
TKT_000118,CUST_07922,Feature Request,Low,2024-05-21,2024-05-23,48.0,3.0,Resolved,2024-05
TKT_000119,CUST_09441,Bug Report,Medium,2023-12-15,,,,Open,2023-12
TKT_000120,CUST_09770,Technical,Medium,2023-02-09,2023-02-09,15.0,5.0,Resolved,2023-02
TKT_000121,CUST_06697,Billing,Low,2022-03-10,2022-03-12,67.0,3.0,Resolved,2022-03
TKT_000122,CUST_04534,Feature Request,Low,2023-10-06,2023-10-08,59.0,3.0,Resolved,2023-10
TKT_000123,CUST_02968,Technical,Medium,2022-03-06,2022-03-07,26.0,4.0,Resolved,2022-03
TKT_000124,CUST_02201,Feature Request,High,2023-07-17,2023-07-17,6.0,4.0,Resolved,2023-07
TKT_000125,CUST_02492,Technical,Low,2024-01-08,2024-01-09,47.0,4.0,Resolved,2024-01
TKT_000126,CUST_08210,Billing,Medium,2023-08-26,2023-08-28,48.0,2.0,Resolved,2023-08
TKT_000127,CUST_02272,Billing,High,2023-08-06,2023-08-06,3.0,4.0,Resolved,2023-08
TKT_000128,CUST_06355,Billing,Medium,2023-01-31,2023-01-31,13.0,4.0,Resolved,2023-01
TKT_000129,CUST_08956,Account,Medium,2022-12-16,2022-12-17,44.0,3.0,Resolved,2022-12
TKT_000130,CUST_07071,Bug Report,Medium,2023-05-15,2023-05-16,30.0,4.0,Resolved,2023-05
TKT_000131,CUST_02483,Feature Request,High,2023-10-04,2023-10-04,22.0,3.0,Resolved,2023-10
TKT_000132,CUST_09147,Billing,Low,2024-05-27,2024-05-29,59.0,2.0,Resolved,2024-05
TKT_000133,CUST_07308,Billing,Critical,2023-05-27,2023-05-27,1.0,4.0,Resolved,2023-05
TKT_000134,CUST_00155,Bug Report,Critical,2024-05-08,2024-05-08,10.0,3.0,Resolved,2024-05
TKT_000135,CUST_02972,Billing,Medium,2022-02-13,2022-02-15,48.0,2.0,Resolved,2022-02
TKT_000136,CUST_00317,Billing,Critical,2023-09-25,2023-09-25,5.0,3.0,Resolved,2023-09
TKT_000137,CUST_04494,Feature Request,High,2022-07-08,2022-07-08,22.0,3.0,Resolved,2022-07
TKT_000138,CUST_02886,Account,Critical,2024-02-04,2024-02-04,8.0,4.0,Resolved,2024-02
TKT_000139,CUST_09718,Billing,Low,2023-06-07,2023-06-08,47.0,4.0,Resolved,2023-06
TKT_000140,CUST_03280,Billing,Critical,2023-09-15,2023-09-15,6.0,4.0,Resolved,2023-09
TKT_000141,CUST_05834,Billing,High,2022-01-20,2022-01-20,8.0,4.0,Resolved,2022-01
TKT_000142,CUST_01515,Bug Report,Critical,2023-02-20,2023-02-20,3.0,4.0,Resolved,2023-02
TKT_000143,CUST_06063,Billing,High,2023-03-03,2023-03-04,24.0,2.0,Resolved,2023-03
TKT_000144,CUST_09649,Technical,Medium,2024-03-25,2024-03-26,29.0,4.0,Resolved,2024-03
TKT_000145,CUST_03306,Account,High,2022-11-17,2022-11-17,2.0,5.0,Resolved,2022-11
TKT_000146,CUST_09987,Feature Request,High,2024-04-02,2024-04-02,2.0,5.0,Resolved,2024-04
TKT_000147,CUST_05394,Technical,High,2023-12-11,2023-12-11,18.0,4.0,Resolved,2023-12
TKT_000148,CUST_02872,Bug Report,Medium,2023-11-03,2023-11-04,28.0,3.0,Resolved,2023-11
TKT_000149,CUST_06325,Account,Medium,2023-12-29,2023-12-30,42.0,3.0,Resolved,2023-12
TKT_000150,CUST_02973,Account,Critical,2024-01-11,2024-01-11,10.0,3.0,Resolved,2024-01
TKT_000151,CUST_02930,Feature Request,Medium,2023-10-02,2023-10-03,35.0,3.0,Resolved,2023-10
TKT_000152,CUST_08018,Technical,Medium,2022-12-25,2022-12-26,35.0,4.0,Resolved,2022-12
TKT_000153,CUST_03301,Technical,Medium,2022-02-03,2022-02-04,46.0,3.0,Resolved,2022-02
TKT_000154,CUST_00381,Feature Request,Medium,2024-02-25,2024-02-25,16.0,4.0,Resolved,2024-02
TKT_000155,CUST_04924,Billing,Low,2024-02-17,2024-02-18,32.0,3.0,Resolved,2024-02
TKT_000156,CUST_02805,Account,High,2023-09-08,2023-09-08,4.0,5.0,Resolved,2023-09
TKT_000157,CUST_06675,Technical,High,2023-07-20,2023-07-20,18.0,3.0,Resolved,2023-07
TKT_000158,CUST_07384,Technical,High,2023-10-09,2023-10-10,24.0,3.0,Resolved,2023-10
TKT_000159,CUST_08054,Billing,Medium,2023-02-11,2023-02-12,27.0,3.0,Resolved,2023-02
TKT_000160,CUST_02494,Bug Report,High,2023-01-21,2023-01-21,4.0,5.0,Resolved,2023-01
TKT_000161,CUST_09703,Feature Request,Low,2023-08-27,2023-08-28,32.0,4.0,Resolved,2023-08
TKT_000162,CUST_04213,Technical,High,2023-04-23,2023-04-23,17.0,4.0,Resolved,2023-04
TKT_000163,CUST_09198,Billing,High,2022-08-01,2022-08-01,6.0,4.0,Resolved,2022-08
TKT_000164,CUST_03042,Technical,Medium,2022-08-18,2022-08-18,15.0,4.0,Resolved,2022-08
TKT_000165,CUST_02465,Feature Request,Critical,2024-01-04,2024-01-04,12.0,3.0,Resolved,2024-01
TKT_000166,CUST_04711,Feature Request,Medium,2023-03-10,2023-03-10,8.0,5.0,Resolved,2023-03
TKT_000167,CUST_04211,Technical,Low,2024-03-04,2024-03-06,69.0,3.0,Resolved,2024-03
TKT_000168,CUST_06285,Feature Request,Critical,2022-04-18,2022-04-18,5.0,5.0,Resolved,2022-04
TKT_000169,CUST_07878,Account,High,2023-09-02,2023-09-02,14.0,4.0,Resolved,2023-09
TKT_000170,CUST_05011,Feature Request,Medium,2023-08-30,2023-08-31,36.0,4.0,Resolved,2023-08
TKT_000171,CUST_06600,Account,Medium,2023-08-30,2023-08-31,39.0,4.0,Resolved,2023-08
TKT_000172,CUST_06190,Technical,High,2022-02-11,2022-02-12,24.0,3.0,Resolved,2022-02
TKT_000173,CUST_06844,Bug Report,Low,2022-01-23,2022-01-24,45.0,3.0,Resolved,2022-01
TKT_000174,CUST_01432,Bug Report,Low,2022-10-05,2022-10-06,34.0,4.0,Resolved,2022-10
TKT_000175,CUST_03662,Bug Report,High,2022-03-02,2022-03-02,19.0,3.0,Resolved,2022-03
TKT_000176,CUST_00632,Billing,Medium,2022-10-27,2022-10-28,47.0,3.0,Resolved,2022-10
TKT_000177,CUST_08588,Account,Low,2023-03-28,2023-03-29,44.0,4.0,Resolved,2023-03
TKT_000178,CUST_00118,Technical,Low,2022-11-12,2022-11-13,33.0,4.0,Resolved,2022-11
TKT_000179,CUST_06480,Technical,Low,2023-08-14,2023-08-15,29.0,4.0,Resolved,2023-08
TKT_000180,CUST_04166,Feature Request,Medium,2022-02-20,2022-02-20,12.0,4.0,Resolved,2022-02
TKT_000181,CUST_02678,Technical,Medium,2023-08-29,2023-08-29,20.0,4.0,Resolved,2023-08
TKT_000182,CUST_00632,Technical,Medium,2023-05-03,2023-05-04,40.0,3.0,Resolved,2023-05
TKT_000183,CUST_01298,Technical,Low,2022-05-01,2022-05-03,70.0,3.0,Resolved,2022-05
TKT_000184,CUST_07751,Feature Request,Low,2024-01-10,2024-01-11,26.0,4.0,Resolved,2024-01
TKT_000185,CUST_09699,Bug Report,Medium,2024-01-18,2024-01-19,24.0,3.0,Resolved,2024-01
TKT_000186,CUST_04345,Technical,Low,2023-01-05,2023-01-07,54.0,3.0,Resolved,2023-01
TKT_000187,CUST_04527,Technical,High,2023-07-13,2023-07-13,12.0,4.0,Resolved,2023-07
TKT_000188,CUST_08684,Feature Request,Medium,2022-05-27,2022-05-27,12.0,4.0,Resolved,2022-05
TKT_000189,CUST_09110,Account,High,2023-03-31,2023-03-31,16.0,4.0,Resolved,2023-03
TKT_000190,CUST_04503,Account,Medium,2023-03-19,2023-03-20,26.0,4.0,Resolved,2023-03
TKT_000191,CUST_00970,Feature Request,High,2024-05-12,,,,Open,2024-05
TKT_000192,CUST_02218,Feature Request,Critical,2024-01-14,,,,Open,2024-01
TKT_000193,CUST_08388,Billing,Medium,2023-10-19,2023-10-20,46.0,3.0,Resolved,2023-10
TKT_000194,CUST_07382,Technical,Low,2022-04-23,2022-04-24,39.0,4.0,Resolved,2022-04
TKT_000195,CUST_07599,Technical,Medium,2023-08-17,2023-08-17,18.0,5.0,Resolved,2023-08
TKT_000196,CUST_06566,Technical,Medium,2023-06-09,2023-06-10,31.0,3.0,Resolved,2023-06
TKT_000197,CUST_02657,Bug Report,High,2022-12-08,2022-12-08,8.0,4.0,Resolved,2022-12
TKT_000198,CUST_07537,Feature Request,High,2023-03-10,2023-03-10,23.0,3.0,Resolved,2023-03
TKT_000199,CUST_06698,Technical,Low,2023-01-04,,,,Open,2023-01
TKT_000200,CUST_02653,Billing,High,2022-05-14,2022-05-14,22.0,3.0,Resolved,2022-05
TKT_000201,CUST_01272,Account,Critical,2024-03-21,2024-03-21,6.0,4.0,Resolved,2024-03
TKT_000202,CUST_06579,Technical,Low,2023-10-06,2023-10-08,51.0,4.0,Resolved,2023-10
TKT_000203,CUST_00496,Bug Report,Medium,2022-11-18,2022-11-18,9.0,4.0,Resolved,2022-11
TKT_000204,CUST_06004,Technical,High,2023-07-18,2023-07-18,13.0,4.0,Resolved,2023-07
TKT_000205,CUST_01627,Account,Medium,2022-11-18,,,,Open,2022-11
TKT_000206,CUST_08359,Technical,High,2024-01-08,2024-01-08,21.0,3.0,Resolved,2024-01
TKT_000207,CUST_05665,Technical,Medium,2023-03-17,2023-03-18,40.0,3.0,Resolved,2023-03
TKT_000208,CUST_06594,Billing,Medium,2023-11-02,2023-11-03,45.0,3.0,Resolved,2023-11
TKT_000209,CUST_01227,Bug Report,Low,2022-10-14,2022-10-15,29.0,3.0,Resolved,2022-10
TKT_000210,CUST_02447,Billing,High,2024-01-21,2024-01-21,18.0,3.0,Resolved,2024-01
TKT_000211,CUST_08801,Account,Medium,2022-09-08,2022-09-09,42.0,3.0,Resolved,2022-09
TKT_000212,CUST_04922,Feature Request,Medium,2022-03-09,2022-03-10,46.0,3.0,Resolved,2022-03
TKT_000213,CUST_06250,Bug Report,High,2023-04-13,2023-04-13,3.0,5.0,Resolved,2023-04
TKT_000214,CUST_05117,Account,Low,2023-05-18,2023-05-19,47.0,3.0,Resolved,2023-05
TKT_000215,CUST_08565,Technical,Low,2023-02-21,2023-02-22,37.0,4.0,Resolved,2023-02
TKT_000216,CUST_08085,Feature Request,Low,2023-11-02,2023-11-04,60.0,3.0,Resolved,2023-11
TKT_000217,CUST_05025,Feature Request,Medium,2022-01-18,2022-01-19,47.0,3.0,Resolved,2022-01
TKT_000218,CUST_09368,Technical,Medium,2023-12-11,2023-12-12,44.0,3.0,Resolved,2023-12
TKT_000219,CUST_07854,Billing,Low,2023-10-31,2023-11-01,30.0,4.0,Resolved,2023-10
TKT_000220,CUST_01239,Technical,Medium,2024-04-19,2024-04-19,10.0,5.0,Resolved,2024-04
TKT_000221,CUST_05552,Feature Request,Critical,2022-12-05,2022-12-05,12.0,3.0,Resolved,2022-12
TKT_000222,CUST_04744,Account,Critical,2022-07-17,2022-07-17,5.0,5.0,Resolved,2022-07
TKT_000223,CUST_07794,Feature Request,Low,2022-09-20,2022-09-22,69.0,3.0,Resolved,2022-09
TKT_000224,CUST_04813,Technical,Critical,2024-05-02,2024-05-02,2.0,4.0,Resolved,2024-05
TKT_000225,CUST_02105,Account,Low,2024-04-20,2024-04-22,70.0,3.0,Resolved,2024-04
TKT_000226,CUST_05614,Billing,Medium,2024-02-15,,,,Open,2024-02
TKT_000227,CUST_02337,Feature Request,Low,2022-08-21,2022-08-24,72.0,3.0,Resolved,2022-08
TKT_000228,CUST_01137,Feature Request,Critical,2023-09-26,2023-09-26,4.0,4.0,Resolved,2023-09
TKT_000229,CUST_06952,Technical,Critical,2022-06-06,2022-06-06,12.0,3.0,Resolved,2022-06
TKT_000230,CUST_08363,Bug Report,Low,2024-03-27,2024-03-28,30.0,4.0,Resolved,2024-03
TKT_000231,CUST_05798,Billing,Low,2023-04-08,2023-04-09,25.0,3.0,Resolved,2023-04
TKT_000232,CUST_05717,Account,Critical,2023-05-15,2023-05-15,7.0,4.0,Resolved,2023-05
TKT_000233,CUST_04438,Technical,Low,2022-04-07,2022-04-09,59.0,3.0,Resolved,2022-04
TKT_000234,CUST_04261,Account,Medium,2024-02-27,2024-02-29,48.0,3.0,Resolved,2024-02
TKT_000235,CUST_00168,Technical,Medium,2024-02-09,2024-02-10,45.0,3.0,Resolved,2024-02
TKT_000236,CUST_00117,Billing,Low,2024-05-01,2024-05-03,53.0,3.0,Resolved,2024-05
TKT_000237,CUST_08763,Billing,Low,2022-07-06,2022-07-08,63.0,3.0,Resolved,2022-07
TKT_000238,CUST_09184,Billing,Medium,2023-05-17,2023-05-18,37.0,3.0,Resolved,2023-05
TKT_000239,CUST_05535,Account,Medium,2023-02-04,2023-02-05,25.0,4.0,Resolved,2023-02
TKT_000240,CUST_07915,Technical,Low,2023-06-24,2023-06-25,44.0,4.0,Resolved,2023-06
TKT_000241,CUST_04357,Billing,Critical,2023-11-23,2023-11-23,2.0,4.0,Resolved,2023-11
TKT_000242,CUST_08899,Technical,High,2022-04-17,2022-04-17,2.0,5.0,Resolved,2022-04
TKT_000243,CUST_06147,Bug Report,Critical,2022-08-02,2022-08-02,5.0,4.0,Resolved,2022-08
TKT_000244,CUST_08118,Technical,Medium,2023-10-28,,,,Open,2023-10
TKT_000245,CUST_03369,Account,Medium,2023-01-14,2023-01-15,37.0,3.0,Resolved,2023-01
TKT_000246,CUST_02833,Technical,Low,2023-05-09,2023-05-11,62.0,3.0,Resolved,2023-05
TKT_000247,CUST_07274,Feature Request,Medium,2023-04-05,2023-04-05,21.0,4.0,Resolved,2023-04
TKT_000248,CUST_02414,Account,Low,2023-10-15,2023-10-17,62.0,3.0,Resolved,2023-10
TKT_000249,CUST_06205,Billing,Medium,2023-08-25,2023-08-26,24.0,3.0,Resolved,2023-08
TKT_000250,CUST_07995,Feature Request,Low,2023-03-28,2023-03-31,72.0,3.0,Resolved,2023-03
TKT_000251,CUST_08308,Technical,Medium,2024-02-29,2024-03-01,27.0,4.0,Resolved,2024-02
TKT_000252,CUST_03168,Technical,Medium,2023-09-24,2023-09-24,18.0,4.0,Resolved,2023-09
TKT_000253,CUST_08107,Billing,Medium,2022-10-30,2022-10-30,8.0,4.0,Resolved,2022-10
TKT_000254,CUST_03612,Technical,Medium,2022-05-18,2022-05-19,42.0,3.0,Resolved,2022-05
TKT_000255,CUST_07485,Technical,Medium,2022-05-31,2022-05-31,11.0,4.0,Resolved,2022-05
TKT_000256,CUST_01377,Technical,Low,2023-03-02,2023-03-04,65.0,4.0,Resolved,2023-03
TKT_000257,CUST_00825,Technical,Low,2022-07-17,2022-07-19,69.0,3.0,Resolved,2022-07
TKT_000258,CUST_02512,Billing,High,2023-05-15,,,,Open,2023-05
TKT_000259,CUST_07234,Billing,Low,2023-04-12,,,,Open,2023-04
TKT_000260,CUST_04606,Bug Report,Low,2022-05-02,2022-05-03,29.0,4.0,Resolved,2022-05
TKT_000261,CUST_00941,Technical,Low,2022-04-05,2022-04-06,47.0,4.0,Resolved,2022-04
