campaign_id,channel,target_segment,impressions,ctr,clicks,leads,conversions,cost,revenue_generated,roi,start_date,end_date
CAMP_029,Webinar,Enterprise,484689,0.1073,52007,9586,1801,44746,30792461.77,68716.12,2024-01-19,2024-03-07
CAMP_030,Email,SMB,374060,0.0465,17393,1525,224,18082,227762.67,1159.61,2023-03-22,2023-04-22
CAMP_031,Webinar,All,428065,0.0831,35572,5185,556,47796,1988131.85,4059.62,2023-03-18,2023-05-11
CAMP_032,Paid Search,All,116675,0.0949,11072,1195,134,27791,531282.7,1811.71,2023-10-30,2023-11-11
CAMP_033,Paid Search,All,488488,0.1407,68730,7971,1214,23818,4318070.15,18029.44,2023-01-23,2023-02-26
CAMP_034,Webinar,All,457122,0.0213,9736,2395,377,33457,1799742.46,5279.27,2023-04-29,2023-06-10
CAMP_035,Paid Search,Mid-Market,76580,0.0644,4931,1126,87,41924,351416.27,738.22,2023-02-25,2023-03-21
CAMP_036,Webinar,Mid-Market,25447,0.1184,3012,518,93,3814,395781.36,10277.07,2023-01-18,2023-03-11
CAMP_037,Email,Mid-Market,244408,0.1353,33068,2841,509,12210,2583881.19,21062.01,2024-01-24,2024-02-01
CAMP_038,Email,All,10887,0.0916,997,87,9,4855,39435.12,712.26,2023-10-26,2023-12-12
CAMP_039,Webinar,All,229123,0.0123,2818,192,36,6542,126665.84,1836.19,2023-04-23,2023-05-10
CAMP_040,Social Media,Mid-Market,83288,0.0694,5780,408,79,1986,327796.35,16405.35,2023-01-02,2023-02-05
CAMP_041,Content Marketing,SMB,53609,0.0716,3838,338,17,47813,21816.52,-54.37,2023-10-07,2023-11-28
CAMP_042,Email,Enterprise,170891,0.1097,18746,2295,263,36255,3910143.91,10685.12,2023-07-21,2023-08-27
CAMP_043,Email,Enterprise,90028,0.1223,11010,1509,94,30959,1204640.57,3791.08,2023-03-19,2023-05-05
CAMP_044,Webinar,SMB,131044,0.115,15070,1922,150,37097,199824.47,438.65,2023-08-22,2023-10-14
CAMP_045,Social Media,All,406913,0.0789,32105,2063,382,680,1573025.74,231227.31,2024-02-24,2024-03-25
CAMP_046,Paid Search,Mid-Market,470000,0.1374,64578,12143,2244,47614,10842015.45,22670.65,2023-03-04,2023-03-13
CAMP_047,Email,All,168164,0.0766,12881,657,67,26554,246777.65,829.34,2023-06-13,2023-06-29
CAMP_048,Email,SMB,220174,0.0197,4337,881,91,21675,119380.59,450.78,2024-01-07,2024-02-24
CAMP_049,Email,Mid-Market,201655,0.1396,28151,2780,227,7300,1164521.83,15852.35,2023-02-10,2023-03-01
CAMP_050,Social Media,All,236630,0.0337,7974,761,146,37605,667376.23,1674.7,2023-07-05,2023-08-18
CAMP_051,Paid Search,SMB,48892,0.1176,5749,794,109,48328,107338.89,122.1,2023-03-28,2023-05-27
CAMP_052,Content Marketing,Mid-Market,178533,0.1104,19710,4484,556,46715,3090166.11,6514.93,2023-08-11,2023-08-23
CAMP_053,Email,Enterprise,120346,0.1042,12540,1548,210,6984,2973017.67,42468.98,2023-05-30,2023-06-07
CAMP_054,Social Media,Mid-Market,346245,0.0946,32754,5995,1014,20672,5625644.47,27113.84,2023-04-02,2023-05-26
CAMP_055,Paid Search,All,93149,0.1245,11597,2693,339,2636,1605325.6,60800.06,2023-12-26,2024-02-08
CAMP_056,Social Media,All,472596,0.1212,57278,14099,1611,39572,5480451.79,13749.32,2023-04-06,2023-05-23
CAMP_057,Webinar,Enterprise,247462,0.1114,27567,2658,513,21571,8205120.53,37937.74,2023-03-14,2023-03-25
CAMP_058,Paid Search,Enterprise,288920,0.032,9245,1039,180,8062,2413812.66,29840.62,2023-07-06,2023-08-20
CAMP_059,Webinar,Mid-Market,398629,0.1293,51542,5674,1080,44434,5803852.38,12961.74,2023-09-14,2023-10-17
CAMP_060,Social Media,Mid-Market,232241,0.086,19972,4418,440,32710,2575991.7,7775.24,2023-04-01,2023-05-02
CAMP_061,Paid Search,Mid-Market,309132,0.0362,11190,1180,89,14632,423906.7,2797.12,2023-03-04,2023-04-19
CAMP_062,Social Media,All,290626,0.1449,42111,7662,478,35080,2061908.92,5777.73,2024-02-08,2024-04-08
CAMP_063,Paid Search,Mid-Market,426857,0.0152,6488,1572,113,33049,481767.51,1357.74,2023-07-30,2023-08-24
CAMP_064,Social Media,Enterprise,28051,0.072,2019,403,54,39291,833532.43,2021.43,2023-02-27,2023-04-15
CAMP_065,Paid Search,Enterprise,465695,0.1155,53787,3288,565,46505,8777066.49,18773.38,2024-02-01,2024-02-18
CAMP_066,Social Media,Mid-Market,259196,0.0168,4354,912,61,13318,253038.06,1799.97,2023-07-11,2023-07-28
CAMP_067,Social Media,All,484274,0.0941,45570,3895,474,10905,1829790.84,16679.37,2023-01-27,2023-03-02
CAMP_068,Paid Search,Enterprise,318280,0.1495,47582,9776,780,46724,13412768.77,28606.38,2023-11-16,2024-01-09
CAMP_069,Social Media,All,282861,0.1483,41948,7992,1249,8870,5934054.87,66800.28,2023-03-01,2023-03-14
CAMP_070,Paid Search,SMB,139925,0.1188,16623,924,132,1018,130265.78,12696.25,2023-12-11,2024-02-06
CAMP_071,Social Media,Mid-Market,193437,0.1184,22902,1877,100,35414,450011.95,1170.72,2023-03-01,2023-03-11
CAMP_072,Email,SMB,170266,0.1291,21981,3295,335,26477,459957.65,1637.2,2023-05-15,2023-06-18
CAMP_073,Email,Mid-Market,99275,0.1168,11595,2739,357,26182,2051618.06,7735.99,2023-06-13,2023-08-12
CAMP_074,Social Media,Enterprise,176626,0.1292,22820,5683,977,48951,14657271.94,29842.74,2023-07-06,2023-08-23
CAMP_075,Webinar,Mid-Market,356039,0.0816,29052,3655,667,15875,3279245.71,20556.67,2023-05-21,2023-06-11
CAMP_076,Content Marketing,All,26688,0.0998,2663,546,44,22662,181273.47,699.9,2024-01-13,2024-02-17
CAMP_077,Content Marketing,Mid-Market,236661,0.1398,33085,5844,839,37373,4926031.55,13080.72,2024-01-03,2024-02-18
CAMP_078,Webinar,Mid-Market,385359,0.0632,24354,4396,376,21298,1681226.68,7793.82,2023-09-08,2023-10-13
CAMP_079,Webinar,Enterprise,392972,0.0961,37764,2143,123,1079,1887215.36,174804.11,2023-09-27,2023-11-01
CAMP_080,Paid Search,Mid-Market,421017,0.1186,49932,8114,444,18338,1811208.47,9776.8,2023-01-14,2023-02-02
CAMP_081,Email,SMB,3722,0.0979,364,70,4,31302,4304.87,-86.25,2023-10-30,2023-11-09
CAMP_082,Email,Enterprise,84616,0.0712,6024,1431,185,16315,3290261.3,20067.09,2023-01-08,2023-02-15
CAMP_083,Email,Mid-Market,400870,0.1286,51551,9953,1607,43688,9153055.58,20850.96,2023-08-19,2023-09-08
CAMP_084,Content Marketing,All,47041,0.0556,2615,457,61,1292,218708.47,16827.9,2023-10-20,2023-11-20
CAMP_085,Social Media,Mid-Market,195373,0.1239,24206,3701,667,19553,3555843.41,18085.67,2024-02-13,2024-02-27
CAMP_086,Email,All,201635,0.047,9476,1013,110,35198,526131.54,1394.78,2023-05-23,2023-07-02
CAMP_087,Webinar,SMB,24333,0.0113,274,31,5,12129,5464.19,-54.95,2023-09-22,2023-09-29
CAMP_088,Content Marketing,SMB,495214,0.1192,59029,8284,613,40405,795137.94,1867.92,2023-10-08,2023-10-23
CAMP_089,Paid Search,Mid-Market,451319,0.107,48291,9847,638,12791,2937121.24,22862.41,2023-09-04,2023-09-12
CAMP_090,Paid Search,Mid-Market,430808,0.0675,29079,4801,769,32590,3639060.5,11066.19,2023-08-09,2023-09-18
CAMP_091,Social Media,SMB,349054,0.0511,17836,3529,522,40893,616980.17,1408.77,2023-02-07,2023-04-04
CAMP_092,Social Media,SMB,298083,0.122,36366,8174,1443,35686,2077120.55,5720.55,2024-01-01,2024-01-23
CAMP_093,Webinar,SMB,444523,0.1121,49831,7729,459,45853,540121.22,1077.94,2023-07-16,2023-07-31
CAMP_094,Content Marketing,SMB,474053,0.0523,24792,5828,1036,22833,1343737.57,5785.07,2023-10-10,2023-11-09
CAMP_095,Webinar,All,135422,0.015,2031,250,19,10873,82317.01,657.08,2023-05-28,2023-06-09
CAMP_096,Email,Mid-Market,99273,0.1178,11694,943,84,24631,369711.52,1401.0,2023-06-15,2023-08-07
CAMP_097,Paid Search,Enterprise,318861,0.0128,4081,231,25,46917,383200.3,716.76,2024-01-01,2024-01-08
CAMP_098,Email,Enterprise,475899,0.0348,16561,1058,183,21870,3107734.4,14110.03,2024-01-15,2024-02-16
CAMP_099,Email,Enterprise,412285,0.0536,22098,3293,440,44731,6274920.26,13928.12,2023-09-14,2023-10-24
CAMP_100,Webinar,All,287087,0.0374,10737,1450,143,23570,546680.22,2219.39,2024-01-21,2024-03-12
CAMP_101,Social Media,Mid-Market,437082,0.1277,55815,6688,897,29134,4452738.66,15183.65,2024-02-13,2024-03-28
CAMP_102,Email,Mid-Market,33962,0.0498,1691,250,37,24182,157668.99,552.01,2023-04-13,2023-05-04
CAMP_103,Paid Search,All,197475,0.0168,3317,165,11,39723,48791.78,22.83,2023-02-09,2023-03-17
CAMP_104,Paid Search,Enterprise,469330,0.1138,53409,10453,1843,12655,30954552.89,244503.34,2023-11-20,2024-01-15
CAMP_105,Paid Search,All,125218,0.0606,7588,1446,139,1994,536767.06,26819.11,2023-11-04,2023-11-17
CAMP_106,Social Media,All,3059,0.117,357,24,3,6490,10234.3,57.69,2023-04-03,2023-05-01
CAMP_107,Content Marketing,Mid-Market,25124,0.064,1607,343,24,43386,136440.02,214.48,2024-01-29,2024-03-08
CAMP_108,Webinar,All,171555,0.1499,25716,1626,307,49858,1440678.05,2789.56,2023-11-26,2023-12-22
CAMP_109,Webinar,Enterprise,16525,0.0812,1341,166,23,17782,335602.97,1787.32,2023-05-01,2023-06-30
CAMP_110,Webinar,Mid-Market,152991,0.0177,2707,521,30,49316,127128.79,157.78,2023-04-15,2023-05-25
CAMP_111,Paid Search,Mid-Market,485129,0.1218,59088,11622,2282,38705,10476050.59,26966.4,2023-05-02,2023-06-17
CAMP_112,Paid Search,All,124755,0.0837,10441,1936,343,29715,1628843.92,5381.55,2023-07-26,2023-08-24
CAMP_113,Social Media,SMB,132733,0.0155,2057,415,29,39598,37546.45,-5.18,2024-01-02,2024-03-02
CAMP_114,Content Marketing,Mid-Market,371825,0.0511,19000,2101,275,30299,1409535.06,4552.08,2023-11-27,2024-01-05
CAMP_115,Paid Search,Enterprise,11479,0.0937,1075,244,20,29499,285676.99,868.43,2023-01-15,2023-03-07
CAMP_116,Social Media,Mid-Market,486919,0.055,26780,5247,878,5981,4062670.22,67826.27,2023-11-17,2024-01-05
CAMP_117,Paid Search,Mid-Market,192325,0.0515,9904,1549,167,12980,820056.82,6217.85,2023-04-02,2023-04-24
CAMP_118,Webinar,SMB,405943,0.1447,58739,7543,1203,49385,1507676.07,2952.9,2024-01-22,2024-02-11
CAMP_119,Email,All,128873,0.1318,16985,1108,68,47697,307754.86,545.23,2024-01-30,2024-02-23
CAMP_120,Social Media,SMB,102793,0.1013,10412,1034,127,45666,153042.79,235.14,2023-05-05,2023-05-15
CAMP_121,Webinar,SMB,180457,0.0394,7110,1553,244,49346,327953.3,564.6,2023-02-10,2023-04-04
CAMP_122,Social Media,SMB,97637,0.0824,8045,1124,110,8358,151670.85,1714.68,2023-09-04,2023-09-16
CAMP_123,Email,Mid-Market,374071,0.0477,17843,3979,393,45209,2305748.69,5000.2,2023-01-21,2023-03-13
CAMP_124,Paid Search,SMB,461046,0.1237,57031,13043,1848,48843,2405984.14,4825.95,2023-03-26,2023-04-11
CAMP_125,Social Media,Enterprise,392409,0.0466,18286,2341,407,4845,6636435.89,136874.94,2023-10-23,2023-11-16
CAMP_126,Webinar,Enterprise,406616,0.0605,24600,3002,248,46458,3157986.66,6697.51,2023-11-18,2023-11-30
CAMP_127,Social Media,Mid-Market,234355,0.0179,4194,293,54,16064,314121.25,1855.44,2023-10-17,2023-11-04
CAMP_128,Email,All,133259,0.1301,17336,1433,84,14799,330312.25,2131.99,2023-07-29,2023-09-17
CAMP_129,Webinar,All,96790,0.0959,9282,1693,168,31791,749324.09,2257.03,2023-11-14,2023-12-01
CAMP_130,Email,Mid-Market,73994,0.0675,4994,366,63,20309,305293.22,1403.24,2023-08-13,2023-10-10
CAMP_131,Paid Search,SMB,309294,0.0981,30341,2982,348,28677,448179.58,1462.85,2023-12-06,2024-01-17
CAMP_132,Social Media,All,449783,0.012,5397,1115,144,16771,493067.47,2840.0,2023-12-13,2024-01-21
CAMP_133,Email,Enterprise,289403,0.0903,26133,5204,691,24703,10911320.66,44070.02,2023-05-15,2023-07-11
CAMP_134,Social Media,All,398123,0.0145,5772,819,144,43415,592903.54,1265.67,2024-02-06,2024-03-18
CAMP_135,Email,All,104923,0.0514,5393,712,39,44917,131097.06,191.87,2023-09-14,2023-10-18
CAMP_136,Email,Mid-Market,143686,0.1333,19153,1395,143,34567,689259.51,1893.98,2024-01-23,2024-03-04
CAMP_137,Webinar,All,430052,0.0344,14793,2740,483,24139,2175655.51,8913.03,2023-02-07,2023-03-13
CAMP_138,Content Marketing,SMB,442184,0.0827,36568,6328,1226,43868,1262672.11,2778.34,2023-04-04,2023-05-11
CAMP_139,Social Media,All,222929,0.0283,6308,915,131,6816,526043.1,7617.77,2023-02-19,2023-03-24
CAMP_140,Paid Search,Mid-Market,425230,0.149,63359,5857,669,28358,3048082.19,10648.58,2023-04-24,2023-06-16
CAMP_141,Email,SMB,336507,0.132,44418,5035,426,32629,508370.48,1458.03,2024-01-21,2024-02-24
CAMP_142,Email,SMB,40080,0.0748,2997,418,24,28757,33075.05,15.02,2023-08-18,2023-10-08
CAMP_143,Social Media,All,490327,0.0771,37804,7045,1327,8399,5121989.36,60883.32,2023-11-09,2023-12-11
CAMP_144,Paid Search,All,461656,0.043,19851,4127,280,38830,960357.93,2373.24,2023-01-31,2023-03-16
CAMP_145,Content Marketing,Mid-Market,201934,0.1473,29744,2847,161,20488,750026.41,3560.81,2023-10-22,2023-11-11
CAMP_146,Social Media,All,145191,0.011,1597,120,22,5726,94970.14,1558.58,2024-01-15,2024-03-10
CAMP_147,Paid Search,Enterprise,231095,0.0667,15414,2459,214,40694,3119393.1,7565.49,2023-06-19,2023-07-31
CAMP_148,Social Media,Mid-Market,382965,0.0528,20220,2395,249,7208,1236392.85,17053.06,2023-08-18,2023-09-06
CAMP_149,Webinar,All,112639,0.0331,3728,307,55,4689,227455.77,4750.84,2023-12-30,2024-02-07
CAMP_150,Content Marketing,All,173641,0.1015,17624,2917,269,8256,990610.45,11898.67,2023-08-06,2023-09-20
CAMP_151,Social Media,Mid-Market,84622,0.082,6939,1179,193,3064,786598.81,25572.28,2023-10-29,2023-11-07
CAMP_152,Email,SMB,386519,0.0946,36564,4104,435,38221,510125.7,1234.67,2023-05-31,2023-06-16
CAMP_153,Email,Mid-Market,44298,0.1465,6489,1420,262,15791,1251474.89,7825.24,2023-09-09,2023-09-28
CAMP_154,Paid Search,Enterprise,10441,0.0652,680,74,11,40600,191390.11,371.4,2023-07-30,2023-09-05
CAMP_155,Email,Mid-Market,337187,0.0503,16960,1555,284,24581,1487041.46,5949.56,2023-09-26,2023-11-22
CAMP_156,Email,Mid-Market,135583,0.0694,9409,2087,112,1230,462788.22,37525.06,2023-08-20,2023-10-11
CAMP_157,Social Media,Enterprise,185787,0.1244,23111,4569,906,11241,16306385.07,144961.69,2023-11-10,2023-12-18
CAMP_158,Social Media,All,307606,0.0851,26177,5254,790,19060,3097770.86,16152.73,2023-12-16,2024-02-05
CAMP_159,Email,Enterprise,240201,0.1141,27406,3390,580,22097,10432606.69,47112.77,2024-01-05,2024-02-04
CAMP_160,Social Media,Enterprise,73164,0.1112,8135,902,103,16888,1592053.26,9327.13,2023-08-16,2023-09-08
CAMP_161,Email,Enterprise,260143,0.0751,19536,2652,447,16459,7276692.61,44111.03,2023-06-14,2023-06-27
CAMP_162,Social Media,SMB,451625,0.1458,65846,15571,2952,31296,3776296.78,11966.39,2023-07-11,2023-07-21
CAMP_163,Email,Enterprise,298832,0.1109,33140,3371,315,19587,5452053.68,27735.06,2023-04-10,2023-04-17
CAMP_164,Email,All,257497,0.1036,26676,3057,566,38346,2460512.31,6316.61,2023-12-11,2024-01-31
CAMP_165,Webinar,All,435298,0.1263,54978,8956,837,30890,3563491.51,11436.07,2023-08-24,2023-10-20
CAMP_166,Webinar,Mid-Market,471479,0.0133,6270,1524,212,31170,1088779.99,3393.04,2023-02-12,2023-02-21
CAMP_167,Paid Search,Mid-Market,186039,0.0952,17710,4418,587,42433,2618756.27,6071.51,2023-10-05,2023-11-14
CAMP_168,Email,All,94415,0.1144,10801,2675,448,22585,1483706.29,6469.43,2023-06-22,2023-07-06
CAMP_169,Content Marketing,Mid-Market,179760,0.097,17436,1661,205,11492,1144351.08,9857.81,2023-09-06,2023-09-30
CAMP_170,Content Marketing,SMB,145380,0.0517,7516,517,91,14056,98859.07,603.32,2023-10-12,2023-11-11
CAMP_171,Content Marketing,Mid-Market,298390,0.0664,19813,4609,278,36023,1486250.34,4025.84,2024-02-05,2024-02-23
CAMP_172,Email,SMB,191411,0.0398,7618,1743,111,30215,133605.38,342.18,2024-01-21,2024-03-15
CAMP_173,Paid Search,All,117072,0.1095,12819,2868,460,19501,2034424.81,10332.41,2023-12-18,2024-01-16
CAMP_174,Email,SMB,40706,0.049,1994,268,32,7591,36243.93,377.46,2023-08-28,2023-10-17
CAMP_175,Email,Mid-Market,310455,0.0811,25177,1902,275,37459,1120968.1,2892.52,2023-05-30,2023-07-09
CAMP_176,Email,All,340239,0.1392,47361,9365,1416,27218,6312760.16,23093.33,2024-02-18,2024-03-03
CAMP_177,Email,All,214736,0.0279,5991,899,89,39433,418357.83,960.93,2023-01-01,2023-02-12
CAMP_178,Social Media,Enterprise,437118,0.091,39777,2880,291,46225,5235236.1,11225.55,2023-11-05,2023-12-30
CAMP_179,Paid Search,All,138490,0.0291,4030,650,108,21968,439185.94,1899.21,2023-11-21,2023-12-02
CAMP_180,Webinar,Mid-Market,68382,0.02,1367,139,12,9543,65830.19,589.83,2023-10-01,2023-11-09
CAMP_181,Content Marketing,SMB,394730,0.1118,44130,10798,1201,3597,1530013.4,42435.82,2023-09-20,2023-10-30
CAMP_182,Webinar,Mid-Market,6286,0.1365,858,84,10,41218,40944.51,-0.66,2024-01-13,2024-03-05
CAMP_183,Email,All,114990,0.0242,2782,553,105,9203,355558.8,3763.51,2023-01-12,2023-01-29
CAMP_184,Paid Search,All,257037,0.1105,28402,3006,436,9330,1992418.11,21254.96,2023-12-04,2024-01-08
CAMP_185,Webinar,Enterprise,329757,0.148,48804,8249,632,17909,11103913.32,61901.86,2023-01-03,2023-02-22
CAMP_186,Email,Enterprise,353722,0.1315,46514,11550,2308,28943,27997491.88,96633.21,2023-08-07,2023-09-11
CAMP_187,Paid Search,Mid-Market,421028,0.0721,30356,4420,574,12547,3101983.57,24622.91,2023-03-21,2023-04-23
CAMP_188,Webinar,Enterprise,92048,0.0379,3488,710,100,42272,1626831.39,3748.48,2024-01-13,2024-01-23
CAMP_189,Email,Mid-Market,266999,0.0584,15592,1903,133,4845,760480.46,15596.19,2024-02-06,2024-02-17
CAMP_190,Social Media,Mid-Market,345698,0.0446,15418,2433,440,19493,2582243.11,13147.03,2024-01-27,2024-02-15
CAMP_191,Email,SMB,459162,0.0314,14417,1872,172,5056,204633.47,3947.34,2023-04-28,2023-05-16
CAMP_192,Email,Mid-Market,466652,0.0251,11712,1159,191,45963,896543.84,1850.58,2023-05-27,2023-07-05
CAMP_193,Webinar,All,270830,0.0394,10670,800,41,14395,161099.37,1019.13,2023-03-19,2023-04-12
CAMP_194,Email,Enterprise,198984,0.0696,13849,3006,301,32685,5261461.68,15997.48,2023-04-19,2023-06-09
CAMP_195,Social Media,Mid-Market,135998,0.1444,19638,3554,622,36627,2619613.26,7052.14,2024-02-29,2024-03-23
CAMP_196,Paid Search,SMB,451406,0.0322,14535,3439,683,44547,664259.11,1391.14,2023-12-05,2024-01-11
CAMP_197,Email,SMB,400821,0.1454,58279,5906,925,37007,974082.64,2532.16,2023-07-11,2023-07-19
CAMP_198,Content Marketing,All,134389,0.0119,1599,355,33,4948,108638.75,2095.61,2024-01-10,2024-02-27
CAMP_199,Webinar,SMB,381099,0.0118,4496,867,150,14457,146713.52,914.83,2023-04-09,2023-04-19
CAMP_200,Content Marketing,All,11787,0.0523,616,50,3,40661,10212.12,-74.88,2023-04-06,2023-05-22
CAMP_201,Social Media,Enterprise,4083,0.0995,406,93,12,24274,170909.08,604.08,2023-11-18,2023-12-11
CAMP_202,Webinar,SMB,64640,0.1047,6767,642,53,18594,65665.27,253.15,2023-03-04,2023-04-02
CAMP_203,Webinar,All,358704,0.1136,40748,2685,460,16611,1932504.35,11533.88,2023-11-30,2024-01-12
CAMP_204,Content Marketing,Enterprise,268946,0.0351,9440,1542,264,2134,3944413.76,184736.63,2023-12-12,2024-01-30
CAMP_205,Email,SMB,177880,0.068,12095,1765,118,49477,148810.7,200.77,2024-02-11,2024-04-06
CAMP_206,Webinar,Mid-Market,248546,0.1408,34995,3973,551,33578,2482125.17,7292.12,2023-05-07,2023-07-06
CAMP_207,Email,All,72894,0.1406,10248,1192,94,20442,405244.11,1882.41,2023-06-28,2023-07-11
CAMP_208,Webinar,Mid-Market,205577,0.1158,23805,3128,440,6932,2564365.91,36893.16,2024-02-19,2024-04-19
CAMP_209,Email,SMB,276553,0.0264,7300,775,122,33267,164678.19,395.02,2023-12-19,2023-12-30
CAMP_210,Email,Enterprise,144552,0.1384,20005,2234,188,34260,2797265.54,8064.81,2023-02-18,2023-04-15
CAMP_211,Paid Search,Mid-Market,59069,0.1106,6533,1619,104,45604,557651.38,1122.81,2023-05-25,2023-06-18
CAMP_212,Social Media,Mid-Market,185522,0.1023,18978,1112,173,4328,957440.63,22022.01,2023-09-24,2023-10-20
CAMP_213,Email,Enterprise,297487,0.0712,21181,5103,291,7521,4360570.2,57878.6,2023-12-12,2023-12-30
CAMP_214,Email,Enterprise,487259,0.1147,55888,7248,1380,34406,20713531.18,60103.25,2024-02-02,2024-03-17
CAMP_215,Social Media,Enterprise,187623,0.0287,5384,407,26,40538,329032.82,711.67,2024-02-17,2024-03-23
CAMP_216,Social Media,Enterprise,290175,0.1442,41843,4466,762,48782,12439085.01,25399.33,2023-01-26,2023-02-18
CAMP_217,Webinar,All,59446,0.1447,8601,1751,259,29278,1073417.13,3566.29,2023-12-10,2024-02-02
CAMP_218,Social Media,Enterprise,145695,0.0421,6133,852,107,27536,1466835.85,5226.98,2023-05-18,2023-06-14
CAMP_219,Paid Search,Mid-Market,403653,0.0936,37781,7437,830,20971,4045704.33,19191.9,2024-02-03,2024-03-13
CAMP_220,Paid Search,Mid-Market,68399,0.1268,8672,1070,178,19816,874514.76,4313.18,2023-04-18,2023-05-25
CAMP_221,Paid Search,Mid-Market,297432,0.055,16358,3682,387,40501,2146057.29,5198.78,2023-03-24,2023-04-02
CAMP_222,Content Marketing,All,431122,0.049,21124,1101,102,42027,413266.68,883.34,2023-01-12,2023-01-20
CAMP_223,Email,Mid-Market,93891,0.13,12205,3021,272,20833,1210663.26,5711.28,2023-06-30,2023-08-05
CAMP_224,Paid Search,Mid-Market,109207,0.0516,5635,480,73,20432,384724.38,1782.95,2023-06-01,2023-07-01
CAMP_225,Email,Mid-Market,25637,0.1486,3809,521,50,15160,281687.86,1758.1,2023-04-10,2023-05-29
CAMP_226,Email,All,440310,0.0841,37030,3664,712,29590,2506660.73,8371.31,2023-12-22,2024-01-23
CAMP_227,Content Marketing,SMB,379882,0.0302,11472,2409,391,28136,462028.25,1542.12,2024-02-17,2024-03-10
CAMP_228,Content Marketing,SMB,185547,0.0595,11040,2218,340,8173,432359.46,5190.09,2023-06-03,2023-06-19
CAMP_229,Social Media,SMB,218329,0.0774,16898,1994,329,8252,370271.61,4387.05,2023-07-02,2023-08-02
CAMP_230,Webinar,Enterprise,399385,0.0987,39419,3079,356,20349,4509185.85,22059.25,2024-02-18,2024-04-04
CAMP_231,Webinar,SMB,74369,0.0427,3175,731,61,40783,66152.2,62.21,2023-10-09,2023-11-12
CAMP_232,Webinar,SMB,265998,0.0874,23248,4586,772,42199,1007353.14,2287.15,2023-02-11,2023-03-17
