usage_id,customer_id,feature,usage_count,last_access_date,session_duration_minutes,month_year
USG_000064,CUST_01513,Reports,39,2023-01-30,43.3,2023-01
USG_000065,CUST_07284,Alerts,6,2023-02-05,26.2,2023-02
USG_000066,CUST_09678,Analytics,24,2023-10-27,34.2,2023-10
USG_000067,CUST_00072,Dashboard,5,2024-03-03,35.4,2024-03
USG_000068,CUST_09088,Integrations,30,2023-12-25,8.1,2023-12
USG_000069,CUST_07296,Dashboard,14,2023-08-13,16.5,2023-08
USG_000070,CUST_04599,Alerts,10,2023-04-10,9.8,2023-04
USG_000071,CUST_08307,Dashboard,48,2023-08-15,29.7,2023-08
USG_000072,CUST_04191,API,18,2024-03-17,25.6,2024-03
USG_000073,CUST_08162,Export,18,2023-09-07,6.6,2023-09
USG_000074,CUST_02460,Reports,9,2024-01-13,16.2,2024-01
USG_000075,CUST_04575,API,19,2023-10-29,133.2,2023-10
USG_000076,CUST_03299,Dashboard,6,2023-06-27,21.9,2023-06
USG_000077,CUST_00533,Integrations,24,2023-08-30,11.9,2023-08
USG_000078,CUST_07385,API,18,2023-09-05,10.0,2023-09
USG_000079,CUST_02344,Analytics,40,2023-07-04,17.5,2023-07
USG_000080,CUST_05511,Analytics,20,2023-11-27,61.2,2023-11
USG_000081,CUST_03407,Dashboard,37,2023-04-28,12.1,2023-04
USG_000082,CUST_06605,Dashboard,33,2024-01-09,54.2,2024-01
USG_000083,CUST_04715,Analytics,22,2024-03-20,92.9,2024-03
USG_000084,CUST_02028,Dashboard,8,2023-01-24,11.6,2023-01
USG_000085,CUST_09300,Dashboard,11,2023-01-12,24.9,2023-01
USG_000086,CUST_00435,Analytics,7,2024-02-15,41.9,2024-02
USG_000087,CUST_03696,Analytics,42,2023-06-16,35.8,2023-06
USG_000088,CUST_08870,Reports,7,2023-10-31,7.4,2023-10
USG_000089,CUST_07695,Dashboard,54,2023-07-14,69.3,2023-07
USG_000090,CUST_09335,Analytics,23,2023-11-15,15.1,2023-11
USG_000091,CUST_00166,Dashboard,37,2023-09-11,4.2,2023-09
USG_000092,CUST_08246,Reports,16,2023-01-24,11.8,2023-01
USG_000093,CUST_00646,Reports,19,2024-01-07,12.9,2024-01
USG_000094,CUST_04808,Export,41,2023-09-30,109.3,2023-09
USG_000095,CUST_05574,Integrations,8,2023-05-30,21.9,2023-05
USG_000096,CUST_07484,Analytics,18,2023-09-19,2.5,2023-09
USG_000097,CUST_03380,Reports,9,2023-11-27,19.6,2023-11
USG_000098,CUST_00303,Dashboard,34,2023-07-31,17.9,2023-07
USG_000099,CUST_04072,Alerts,10,2023-01-04,17.7,2023-01
USG_000100,CUST_06817,Export,10,2023-11-26,26.7,2023-11
USG_000101,CUST_00410,Alerts,16,2024-03-19,29.6,2024-03
USG_000102,CUST_00846,Reports,13,2024-01-29,32.8,2024-01
USG_000103,CUST_06157,Dashboard,19,2023-04-04,30.5,2023-04
USG_000104,CUST_02298,API,13,2023-03-25,6.0,2023-03
USG_000105,CUST_01804,Export,13,2024-05-30,26.8,2024-05
USG_000106,CUST_00405,Analytics,38,2023-12-16,8.6,2023-12
USG_000107,CUST_06807,Reports,26,2024-04-24,44.8,2024-04
USG_000108,CUST_03622,Analytics,10,2023-05-30,45.8,2023-05
USG_000109,CUST_09973,Integrations,11,2023-04-26,26.8,2023-04
USG_000110,CUST_06994,Analytics,21,2023-08-29,22.2,2023-08
USG_000111,CUST_06018,Reports,13,2023-02-03,18.1,2023-02
USG_000112,CUST_08426,API,17,2023-03-26,10.1,2023-03
USG_000113,CUST_09299,Alerts,8,2023-11-11,7.1,2023-11
USG_000114,CUST_02082,Reports,46,2024-01-19,10.5,2024-01
USG_000115,CUST_07658,Dashboard,23,2023-08-19,19.2,2023-08
USG_000116,CUST_00819,Dashboard,19,2023-05-12,31.0,2023-05
USG_000117,CUST_08120,API,19,2023-09-28,6.9,2023-09
USG_000118,CUST_09513,Export,43,2023-03-06,5.3,2023-03
USG_000119,CUST_04290,Analytics,11,2024-03-19,30.4,2024-03
USG_000120,CUST_03222,Export,16,2024-02-14,26.6,2024-02
USG_000121,CUST_07253,Reports,17,2023-04-24,6.5,2023-04
USG_000122,CUST_08341,Dashboard,6,2023-09-06,10.9,2023-09
USG_000123,CUST_00779,Analytics,9,2024-05-03,16.8,2024-05
USG_000124,CUST_00500,Alerts,22,2023-08-02,9.6,2023-08
USG_000125,CUST_02030,Analytics,26,2024-05-11,32.1,2024-05
USG_000126,CUST_03767,API,10,2023-05-13,29.6,2023-05
USG_000127,CUST_05025,Reports,31,2023-05-02,8.1,2023-05
USG_000128,CUST_01276,Alerts,39,2024-05-21,180.0,2024-05
USG_000129,CUST_04806,Reports,15,2024-03-08,28.6,2024-03
USG_000130,CUST_04174,Reports,40,2024-04-08,26.8,2024-04
USG_000131,CUST_01053,Analytics,24,2024-02-21,44.1,2024-02
USG_000132,CUST_07795,Dashboard,9,2023-08-19,8.3,2023-08
USG_000133,CUST_04181,Analytics,15,2024-04-26,14.3,2024-04
USG_000134,CUST_03005,API,5,2023-08-21,37.2,2023-08
USG_000135,CUST_03459,Analytics,18,2024-01-24,33.3,2024-01
USG_000136,CUST_06711,Dashboard,19,2023-06-10,21.4,2023-06
USG_000137,CUST_06308,Analytics,26,2024-01-17,25.6,2024-01
USG_000138,CUST_03868,Dashboard,41,2023-10-08,34.0,2023-10
USG_000139,CUST_05643,Reports,10,2023-12-19,25.5,2023-12
USG_000140,CUST_05545,Reports,8,2023-12-15,4.5,2023-12
USG_000141,CUST_04304,Reports,46,2023-10-17,15.1,2023-10
USG_000142,CUST_02320,Analytics,11,2023-10-03,19.0,2023-10
USG_000143,CUST_00580,Reports,12,2023-05-05,6.8,2023-05
USG_000144,CUST_06114,Analytics,27,2024-04-08,10.5,2024-04
USG_000145,CUST_00993,Export,10,2023-05-19,137.0,2023-05
USG_000146,CUST_00893,API,19,2023-05-21,7.6,2023-05
USG_000147,CUST_04153,Dashboard,42,2024-01-09,10.8,2024-01
USG_000148,CUST_05279,Analytics,20,2023-02-06,5.8,2023-02
USG_000149,CUST_09770,Analytics,33,2024-03-01,40.3,2024-03
USG_000150,CUST_02636,Dashboard,28,2023-08-16,32.7,2023-08
USG_000151,CUST_03406,Integrations,37,2023-09-22,48.6,2023-09
USG_000152,CUST_05322,Integrations,40,2023-07-06,17.4,2023-07
USG_000153,CUST_04526,Analytics,32,2024-04-19,43.4,2024-04
USG_000154,CUST_06548,Integrations,11,2023-04-24,23.9,2023-04
USG_000155,CUST_09380,Alerts,18,2023-01-04,12.5,2023-01
USG_000156,CUST_01922,Dashboard,13,2023-10-11,13.3,2023-10
USG_000157,CUST_03195,Analytics,38,2024-05-30,17.1,2024-05
USG_000158,CUST_00616,Analytics,34,2023-07-06,25.4,2023-07
USG_000159,CUST_08664,Alerts,9,2023-10-11,15.0,2023-10
USG_000160,CUST_09045,Analytics,20,2023-06-21,11.3,2023-06
USG_000161,CUST_06672,Reports,23,2023-12-29,38.4,2023-12
USG_000162,CUST_01178,Export,16,2024-03-21,25.5,2024-03
USG_000163,CUST_04828,Reports,23,2023-03-29,12.2,2023-03
USG_000164,CUST_04813,API,13,2023-05-14,8.2,2023-05
USG_000165,CUST_08958,Analytics,52,2023-06-20,37.2,2023-06
USG_000166,CUST_09625,Analytics,8,2023-05-27,107.1,2023-05
USG_000167,CUST_05476,Analytics,19,2023-04-19,17.6,2023-04
USG_000168,CUST_00598,Export,8,2023-10-19,18.1,2023-10
USG_000169,CUST_06122,Alerts,47,2023-08-16,9.1,2023-08
USG_000170,CUST_04395,Reports,9,2023-04-28,24.2,2023-04
USG_000171,CUST_07376,Integrations,11,2023-11-04,27.0,2023-11
USG_000172,CUST_04956,Dashboard,9,2023-04-03,20.9,2023-04
USG_000173,CUST_08191,Analytics,10,2023-12-04,16.3,2023-12
USG_000174,CUST_06907,Reports,15,2024-05-02,99.8,2024-05
USG_000175,CUST_08648,API,20,2023-02-06,19.5,2023-02
USG_000176,CUST_00676,Analytics,10,2024-02-25,10.1,2024-02
USG_000177,CUST_07580,Reports,14,2023-08-22,16.4,2023-08
USG_000178,CUST_00715,API,33,2024-03-16,10.3,2024-03
USG_000179,CUST_02377,Analytics,9,2023-02-25,28.9,2023-02
USG_000180,CUST_01107,API,26,2023-01-24,28.7,2023-01
USG_000181,CUST_05217,Reports,25,2024-01-29,27.3,2024-01
USG_000182,CUST_06334,API,18,2023-12-15,20.8,2023-12
USG_000183,CUST_00276,Dashboard,16,2023-12-30,49.4,2023-12
USG_000184,CUST_05156,Reports,15,2023-10-14,56.6,2023-10
USG_000185,CUST_07369,Alerts,11,2023-12-12,9.0,2023-12
USG_000186,CUST_00547,API,6,2024-05-21,20.3,2024-05
USG_000187,CUST_04585,Export,10,2023-11-09,53.6,2023-11
USG_000188,CUST_03947,Dashboard,16,2024-01-17,128.8,2024-01
USG_000189,CUST_08498,Reports,10,2024-01-02,31.1,2024-01
USG_000190,CUST_04764,Dashboard,42,2024-03-24,44.4,2024-03
USG_000191,CUST_07254,Dashboard,17,2024-04-18,8.4,2024-04
USG_000192,CUST_01588,Reports,5,2023-03-08,18.9,2023-03
USG_000193,CUST_01060,Alerts,14,2023-09-07,7.2,2023-09
USG_000194,CUST_06950,Alerts,10,2024-02-29,40.6,2024-02
USG_000195,CUST_07475,API,38,2024-05-02,18.3,2024-05
USG_000196,CUST_01236,Analytics,44,2023-06-23,43.6,2023-06
USG_000197,CUST_04322,Export,47,2023-05-15,22.0,2023-05
USG_000198,CUST_03365,Dashboard,37,2023-04-20,19.7,2023-04
USG_000199,CUST_04006,Reports,43,2023-01-24,9.5,2023-01
USG_000200,CUST_08316,API,44,2023-12-17,75.8,2023-12
USG_000201,CUST_01630,Export,19,2023-10-19,5.9,2023-10
USG_000202,CUST_08265,Alerts,39,2023-03-09,10.8,2023-03
USG_000203,CUST_06036,Dashboard,11,2023-03-03,16.4,2023-03
USG_000204,CUST_09181,Analytics,10,2023-03-05,31.4,2023-03
USG_000205,CUST_08971,Dashboard,10,2023-02-20,40.4,2023-02
USG_000206,CUST_03246,API,42,2023-10-23,119.1,2023-10
USG_000207,CUST_05469,Analytics,10,2023-06-02,22.6,2023-06
USG_000208,CUST_05243,Integrations,36,2023-06-10,44.4,2023-06
USG_000209,CUST_06749,Reports,28,2023-09-16,11.3,2023-09
USG_000210,CUST_06068,Integrations,45,2024-03-14,7.8,2024-03
USG_000211,CUST_09420,Analytics,20,2023-10-25,36.3,2023-10
USG_000212,CUST_08265,Reports,38,2024-05-20,25.8,2024-05
USG_000213,CUST_00932,Dashboard,3,2024-05-08,36.1,2024-05
USG_000214,CUST_08909,Reports,20,2023-12-22,38.6,2023-12
USG_000215,CUST_05871,Reports,9,2024-03-18,11.3,2024-03
USG_000216,CUST_06974,API,24,2023-04-17,49.5,2023-04
USG_000217,CUST_02362,Analytics,37,2024-05-29,13.4,2024-05
USG_000218,CUST_01617,Reports,12,2023-07-22,7.5,2023-07
USG_000219,CUST_09246,Integrations,9,2023-05-07,12.5,2023-05
USG_000220,CUST_06520,Dashboard,21,2024-01-03,27.8,2024-01
USG_000221,CUST_07614,Reports,18,2023-06-12,13.0,2023-06
USG_000222,CUST_01530,Reports,26,2023-07-12,11.6,2023-07
USG_000223,CUST_05290,Reports,19,2023-07-22,20.6,2023-07
USG_000224,CUST_01710,Dashboard,20,2023-08-16,3.6,2023-08
USG_000225,CUST_09387,Export,27,2024-02-27,2.5,2024-02
USG_000226,CUST_00893,Reports,21,2023-06-02,27.2,2023-06
USG_000227,CUST_02049,API,21,2024-03-14,10.4,2024-03
USG_000228,CUST_05492,Integrations,40,2024-03-25,65.0,2024-03
USG_000229,CUST_06118,Reports,17,2023-01-05,37.7,2023-01
USG_000230,CUST_08708,Dashboard,22,2023-05-23,4.4,2023-05
USG_000231,CUST_07210,Dashboard,9,2023-12-15,18.6,2023-12
USG_000232,CUST_03200,Dashboard,19,2024-02-15,18.5,2024-02
USG_000233,CUST_02139,Export,5,2023-06-03,26.2,2023-06
USG_000234,CUST_09773,Reports,12,2024-03-18,69.6,2024-03
USG_000235,CUST_05955,Dashboard,31,2023-04-23,7.7,2023-04
USG_000236,CUST_01909,Dashboard,37,2023-07-11,15.2,2023-07
USG_000237,CUST_05332,Analytics,6,2023-03-07,62.0,2023-03
USG_000238,CUST_01042,Dashboard,16,2023-07-06,11.7,2023-07
USG_000239,CUST_04960,API,7,2024-03-01,60.7,2024-03
USG_000240,CUST_04001,Dashboard,11,2023-09-06,10.8,2023-09
USG_000241,CUST_07980,Analytics,14,2024-03-30,16.9,2024-03
USG_000242,CUST_07870,Dashboard,26,2023-12-06,15.2,2023-12
USG_000243,CUST_08520,Reports,12,2023-11-11,54.8,2023-11
USG_000244,CUST_04415,Alerts,10,2023-03-10,12.0,2023-03
USG_000245,CUST_07430,Dashboard,8,2023-02-21,12.0,2023-02
USG_000246,CUST_01215,Dashboard,11,2023-06-04,12.1,2023-06
USG_000247,CUST_00696,Reports,26,2024-03-05,134.7,2024-03
USG_000248,CUST_03205,Reports,13,2023-11-08,37.4,2023-11
USG_000249,CUST_08912,Dashboard,9,2023-08-10,25.9,2023-08
USG_000250,CUST_02438,Dashboard,10,2023-09-13,4.6,2023-09
USG_000251,CUST_07529,Reports,37,2023-08-04,20.6,2023-08
USG_000252,CUST_07431,Integrations,21,2024-04-12,88.4,2024-04
USG_000253,CUST_02918,API,28,2023-11-13,2.7,2023-11
USG_000254,CUST_03419,Export,42,2023-03-07,11.7,2023-03
USG_000255,CUST_00760,Reports,17,2023-02-07,6.5,2023-02
USG_000256,CUST_02793,Dashboard,11,2024-05-29,25.4,2024-05
USG_000257,CUST_05127,Reports,23,2024-03-03,29.5,2024-03
USG_000258,CUST_02051,Reports,15,2023-09-12,4.1,2023-09
USG_000259,CUST_05366,Dashboard,7,2023-08-10,22.8,2023-08
USG_000260,CUST_00640,Analytics,42,2023-06-14,18.0,2023-06
USG_000261,CUST_01957,Dashboard,23,2023-01-27,6.8,2023-01
USG_000262,CUST_07162,Export,40,2023-01-30,7.5,2023-01
USG_000263,CUST_09786,Alerts,19,2023-11-17,95.5,2023-11
USG_000264,CUST_00455,Reports,42,2023-04-23,13.3,2023-04
USG_000265,CUST_02321,Dashboard,47,2024-03-31,10.8,2024-03
USG_000266,CUST_03338,Reports,9,2024-02-23,27.2,2024-02
USG_000267,CUST_01900,Alerts,36,2024-04-05,24.1,2024-04
USG_000268,CUST_04886,Reports,13,2023-04-21,5.3,2023-04
USG_000269,CUST_06236,API,46,2023-08-03,21.2,2023-08
USG_000270,CUST_01779,API,19,2024-04-27,29.9,2024-04
USG_000271,CUST_02518,Analytics,21,2023-09-16,32.7,2023-09
USG_000272,CUST_06088,API,10,2024-05-25,52.8,2024-05
USG_000273,CUST_01997,Reports,10,2023-08-22,53.2,2023-08
USG_000274,CUST_04814,Dashboard,12,2024-05-09,41.8,2024-05
USG_000275,CUST_09990,Alerts,40,2023-02-01,25.6,2023-02
USG_000276,CUST_09952,Reports,15,2023-12-26,31.0,2023-12
USG_000277,CUST_05175,Reports,38,2023-10-08,11.7,2023-10
USG_000278,CUST_09873,Reports,16,2023-01-16,5.2,2023-01
USG_000279,CUST_05231,Reports,10,2023-09-14,48.6,2023-09
USG_000280,CUST_05042,API,7,2024-05-01,9.8,2024-05
USG_000281,CUST_00036,Dashboard,9,2023-06-27,14.1,2023-06
USG_000282,CUST_01450,Reports,7,2024-03-06,22.0,2024-03
USG_000283,CUST_01646,Dashboard,32,2023-10-25,7.9,2023-10
USG_000284,CUST_00964,Dashboard,12,2024-01-17,11.0,2024-01
USG_000285,CUST_08184,API,45,2023-03-23,26.2,2023-03
USG_000286,CUST_07763,Dashboard,48,2023-01-31,28.0,2023-01
USG_000287,CUST_00713,API,41,2024-01-24,43.9,2024-01
USG_000288,CUST_08732,Analytics,35,2023-07-24,13.7,2023-07
USG_000289,CUST_00912,Export,20,2024-03-30,13.9,2024-03
USG_000290,CUST_05705,Dashboard,27,2023-03-17,15.8,2023-03
USG_000291,CUST_00054,Integrations,13,2023-08-22,10.8,2023-08
USG_000292,CUST_08593,Alerts,34,2024-05-11,7.4,2024-05
USG_000293,CUST_03570,Export,18,2023-03-21,24.0,2023-03
USG_000294,CUST_01986,Reports,9,2023-06-17,54.8,2023-06
USG_000295,CUST_08097,API,47,2023-08-12,15.9,2023-08
USG_000296,CUST_04317,Reports,13,2023-08-18,28.2,2023-08
USG_000297,CUST_09756,Reports,40,2023-08-11,28.8,2023-08
USG_000298,CUST_08444,Dashboard,13,2023-09-27,49.4,2023-09
USG_000299,CUST_09277,Analytics,49,2024-03-13,37.6,2024-03
USG_000300,CUST_07656,Integrations,38,2024-04-14,90.4,2024-04
USG_000301,CUST_07978,Reports,12,2024-02-28,42.3,2024-02
USG_000302,CUST_00787,Reports,49,2023-02-06,45.9,2023-02
USG_000303,CUST_09878,Reports,9,2023-04-27,7.2,2023-04
USG_000304,CUST_06996,Export,12,2023-02-28,4.8,2023-02
USG_000305,CUST_01873,Reports,7,2023-04-04,34.2,2023-04
USG_000306,CUST_09829,Integrations,17,2023-09-12,21.2,2023-09
USG_000307,CUST_07821,Export,9,2024-03-15,5.8,2024-03
USG_000308,CUST_06991,API,12,2024-02-18,11.5,2024-02
USG_000309,CUST_04592,API,47,2024-03-28,33.1,2024-03
USG_000310,CUST_01465,Reports,7,2024-02-23,6.9,2024-02
USG_000311,CUST_02263,Dashboard,20,2023-02-15,8.8,2023-02
USG_000312,CUST_03039,Reports,8,2023-08-27,71.1,2023-08
USG_000313,CUST_08810,Dashboard,9,2023-05-06,8.1,2023-05
USG_000314,CUST_07037,Analytics,46,2023-06-15,26.3,2023-06
USG_000315,CUST_02215,Dashboard,11,2023-03-08,20.6,2023-03
USG_000316,CUST_07753,Integrations,18,2023-01-11,25.1,2023-01
USG_000317,CUST_09540,Analytics,49,2024-03-17,25.2,2024-03
USG_000318,CUST_08330,Dashboard,21,2023-01-30,5.6,2023-01
USG_000319,CUST_02845,Integrations,12,2023-12-21,63.7,2023-12
USG_000320,CUST_09672,Dashboard,22,2023-04-02,3.4,2023-04
USG_000321,CUST_09506,Analytics,37,2023-01-20,19.7,2023-01
USG_000322,CUST_08384,Reports,32,2023-07-10,8.8,2023-07
USG_000323,CUST_03578,Reports,8,2023-03-10,57.4,2023-03
USG_000324,CUST_01970,Integrations,21,2023-02-02,5.8,2023-02
USG_000325,CUST_03548,Integrations,46,2023-03-31,7.4,2023-03
USG_000326,CUST_03573,Alerts,9,2024-03-28,31.3,2024-03
USG_000327,CUST_08529,Analytics,19,2024-03-01,24.0,2024-03
USG_000328,CUST_06487,Dashboard,11,2023-08-04,53.3,2023-08
USG_000329,CUST_06354,Analytics,17,2024-03-12,21.9,2024-03
USG_000330,CUST_00984,Alerts,14,2023-03-02,32.8,2023-03
USG_000331,CUST_05750,Dashboard,44,2024-03-11,17.6,2024-03
USG_000332,CUST_09321,Integrations,43,2023-06-16,28.7,2023-06
USG_000333,CUST_04642,Integrations,24,2024-04-11,46.2,2024-04
USG_000334,CUST_02158,Dashboard,17,2024-05-30,36.4,2024-05
USG_000335,CUST_05722,Analytics,10,2023-12-31,9.8,2023-12
USG_000336,CUST_03177,Analytics,52,2023-12-31,7.6,2023-12
USG_000337,CUST_00786,Export,49,2023-07-23,69.0,2023-07
USG_000338,CUST_03663,API,38,2023-12-27,64.9,2023-12
USG_000339,CUST_00715,Reports,34,2023-09-15,13.3,2023-09
USG_000340,CUST_08815,Alerts,25,2023-08-11,13.0,2023-08
USG_000341,CUST_04853,Dashboard,9,2023-02-11,7.3,2023-02
USG_000342,CUST_06407,Integrations,35,2023-06-11,31.8,2023-06
USG_000343,CUST_03128,Analytics,20,2023-06-19,13.7,2023-06
USG_000344,CUST_01290,API,20,2023-02-03,4.5,2023-02
USG_000345,CUST_01684,API,17,2023-05-29,9.3,2023-05
USG_000346,CUST_04945,Dashboard,26,2024-05-19,2.6,2024-05
USG_000347,CUST_00061,Dashboard,35,2024-01-07,27.8,2024-01
USG_000348,CUST_00670,Dashboard,19,2023-12-10,7.4,2023-12
USG_000349,CUST_08546,Dashboard,12,2024-05-07,52.1,2024-05
USG_000350,CUST_01136,Alerts,6,2023-11-05,9.5,2023-11
USG_000351,CUST_05801,Integrations,16,2024-03-17,12.5,2024-03
USG_000352,CUST_08101,Integrations,6,2024-03-17,55.7,2024-03
USG_000353,CUST_09367,Export,27,2024-02-15,59.0,2024-02
USG_000354,CUST_08388,Export,21,2023-07-01,18.9,2023-07
USG_000355,CUST_09498,Dashboard,43,2023-08-17,19.9,2023-08
USG_000356,CUST_07322,Reports,33,2023-09-16,32.9,2023-09
USG_000357,CUST_09104,Dashboard,9,2023-05-17,33.2,2023-05
USG_000358,CUST_02401,Reports,34,2023-08-29,6.3,2023-08
USG_000359,CUST_08212,Integrations,41,2024-04-17,26.3,2024-04
USG_000360,CUST_08065,Dashboard,20,2023-11-29,26.1,2023-11
USG_000361,CUST_06086,Analytics,15,2023-04-29,7.6,2023-04
USG_000362,CUST_09893,Integrations,12,2023-10-28,18.8,2023-10
USG_000363,CUST_02279,Dashboard,19,2023-08-21,35.5,2023-08
USG_000364,CUST_08972,API,15,2023-11-13,9.4,2023-11
USG_000365,CUST_06229,Alerts,39,2023-08-30,11.3,2023-08
USG_000366,CUST_08885,Dashboard,13,2023-11-05,12.1,2023-11
USG_000367,CUST_07189,Analytics,34,2024-02-22,21.3,2024-02
USG_000368,CUST_04112,Export,15,2024-02-25,55.3,2024-02
USG_000369,CUST_04036,Reports,9,2023-03-15,61.2,2023-03
USG_000370,CUST_01542,Dashboard,44,2023-05-31,3.5,2023-05
USG_000371,CUST_01898,Alerts,24,2023-09-01,12.7,2023-09
USG_000372,CUST_04734,Analytics,45,2023-10-20,6.2,2023-10
USG_000373,CUST_03759,Dashboard,7,2023-10-24,11.6,2023-10
USG_000374,CUST_02295,Dashboard,41,2023-08-01,33.1,2023-08
USG_000375,CUST_08404,Reports,38,2023-03-29,22.8,2023-03
USG_000376,CUST_00334,Export,10,2024-01-07,12.6,2024-01
USG_000377,CUST_09445,Reports,29,2024-03-10,43.6,2024-03
USG_000378,CUST_01273,Alerts,12,2024-03-15,36.0,2024-03
USG_000379,CUST_07269,Dashboard,46,2023-04-17,3.9,2023-04
USG_000380,CUST_03600,Analytics,28,2023-10-09,32.8,2023-10
USG_000381,CUST_03819,Dashboard,21,2023-02-12,21.3,2023-02
USG_000382,CUST_05895,Reports,46,2023-05-05,48.7,2023-05
USG_000383,CUST_06294,Analytics,17,2024-05-25,11.2,2024-05
USG_000384,CUST_08651,Reports,47,2023-05-09,8.1,2023-05
USG_000385,CUST_08124,Dashboard,10,2024-03-13,12.7,2024-03
USG_000386,CUST_09570,Integrations,7,2023-01-25,8.8,2023-01
USG_000387,CUST_07556,Reports,9,2024-03-17,12.0,2024-03
USG_000388,CUST_00570,Analytics,9,2023-08-11,14.0,2023-08
USG_000389,CUST_09646,API,12,2023-09-01,16.7,2023-09
USG_000390,CUST_03901,API,26,2024-03-24,6.5,2024-03
USG_000391,CUST_02356,Analytics,26,2024-04-16,18.4,2024-04
