customer_id,segment,region,plan_type,total_revenue,tenure_days,churn_risk_score
CUST_06639,Mid-Market,International,Enterprise,40511.73,1977,20.0
CUST_08234,SMB,International,Enterprise,40501.78,1941,20.0
CUST_04950,Enterprise,East,Enterprise,40497.86,1943,20.0
CUST_08579,Mid-Market,North,Enterprise,40451.38,1940,20.0
CUST_04591,SMB,International,Enterprise,40443.71,1925,20.0
CUST_09612,SMB,International,Enterprise,40439.57,1980,20.0
CUST_01606,SMB,North,Enterprise,40436.71,1947,20.0
CUST_03296,Enterprise,East,Enterprise,40384.15,1978,20.0
CUST_03638,SMB,North,Enterprise,40289.27,1929,20.0
CUST_00057,SMB,West,Enterprise,40286.75,1967,20.0
CUST_04385,Mid-Market,South,Enterprise,40267.47,1941,20.0
CUST_01187,SMB,International,Enterprise,40233.24,1973,20.0
CUST_03284,Mid-Market,North,Enterprise,40228.64,1928,20.0
CUST_01491,Mid-Market,East,Enterprise,40226.8,1981,20.0
CUST_03007,Enterprise,East,Enterprise,40215.41,1968,20.0
CUST_08433,SMB,North,Enterprise,40208.29,1951,20.0
CUST_02193,SMB,South,Enterprise,40185.68,1936,20.0
CUST_04512,SMB,International,Enterprise,40163.53,1954,20.0
CUST_01823,Enterprise,South,Enterprise,40094.84,1981,20.0
CUST_05618,SMB,East,Enterprise,40088.03,1976,20.0
CUST_06182,SMB,International,Enterprise,40076.04,1948,20.0
CUST_02714,SMB,North,Enterprise,40074.57,1921,20.0
CUST_02060,Enterprise,North,Enterprise,39982.57,1915,20.0
CUST_03290,Mid-Market,West,Enterprise,39884.03,1968,20.0
CUST_02985,SMB,North,Enterprise,39877.71,1943,20.0
CUST_07289,Mid-Market,International,Enterprise,39876.58,1965,20.0
CUST_03693,Mid-Market,South,Enterprise,39870.4,1914,20.0
CUST_05470,SMB,North,Enterprise,39868.27,1956,20.0
CUST_08726,SMB,International,Enterprise,39864.22,1957,20.0
CUST_04321,SMB,South,Enterprise,39854.01,1950,20.0
CUST_08673,SMB,North,Enterprise,39802.81,1923,35.0
CUST_05410,Enterprise,West,Enterprise,39744.44,1974,20.0
CUST_06307,Mid-Market,North,Enterprise,39731.04,1929,35.0
CUST_07349,Mid-Market,North,Enterprise,39700.17,1972,20.0
CUST_05927,Mid-Market,South,Enterprise,39699.02,1937,20.0
CUST_00698,Mid-Market,North,Enterprise,39680.69,1939,20.0
CUST_04274,SMB,East,Enterprise,39660.71,1939,20.0
CUST_05945,SMB,North,Enterprise,39643.82,1949,20.0
CUST_08631,SMB,East,Enterprise,39633.12,1945,20.0
CUST_08578,Mid-Market,South,Enterprise,39614.79,1949,20.0
CUST_05937,SMB,South,Enterprise,39603.19,1962,20.0
CUST_05995,SMB,International,Enterprise,39597.86,1920,20.0
CUST_04737,Enterprise,East,Enterprise,39595.29,1924,20.0
CUST_00753,SMB,East,Enterprise,39593.04,1932,20.0
CUST_06437,SMB,West,Enterprise,39554.13,1967,20.0
CUST_08327,SMB,South,Enterprise,39548.68,1979,20.0
CUST_01195,Enterprise,South,Enterprise,39545.55,1917,20.0
CUST_02683,Enterprise,South,Enterprise,39521.64,1931,20.0
CUST_08025,Mid-Market,West,Enterprise,39510.42,1921,20.0
CUST_05867,Enterprise,North,Enterprise,39449.05,1867,20.0
CUST_07697,Mid-Market,West,Enterprise,39430.7,1946,20.0
CUST_07916,SMB,International,Enterprise,39389.22,1937,20.0
CUST_08097,SMB,North,Enterprise,39345.04,1928,20.0
CUST_06009,SMB,International,Enterprise,39339.38,1934,20.0
CUST_06727,SMB,East,Enterprise,39237.97,1927,20.0
CUST_04890,SMB,South,Enterprise,39231.89,1921,20.0
CUST_09365,SMB,West,Enterprise,39230.05,1931,20.0
CUST_04089,SMB,North,Enterprise,39224.94,1927,20.0
CUST_03173,Mid-Market,West,Enterprise,39210.75,1930,20.0
CUST_09959,SMB,North,Enterprise,39194.94,1916,20.0
CUST_05324,SMB,South,Enterprise,39157.41,1873,20.0
CUST_06953,SMB,North,Enterprise,39112.62,1872,20.0
CUST_08387,Enterprise,South,Enterprise,39087.77,1923,20.0
CUST_08091,Mid-Market,International,Enterprise,39086.59,1943,20.0
CUST_02074,Enterprise,International,Enterprise,39048.35,1911,20.0
CUST_01174,SMB,North,Enterprise,39023.76,1924,20.0
CUST_03546,Mid-Market,North,Enterprise,39020.76,1918,20.0
